Business Name,Contact Person,Email,Phone,Website,Years of Experience,Service Areas,Loan Types,Interest Rate Min (%),Interest Rate Max (%),Processing Fee,RBI Registration
Utkarsh Small Finance Bank,Govind Singh / Managing Director & CEO,customercare@utkarsh.bank,1800 123 9878,https://www.utkarsh.bank,10 Years (SFB 2016),North; Central & Eastern India (800+ Outlets),Utkarsh Awas Home Loan; Home Improvement; Self-Construction Finance,9.25,13.75,1.00% - 1.50% of loan amount + GST,RBI Registered Scheduled Small Finance Bank
Suryoday Small Finance Bank,Baskar Babu Ramachandran / MD & CEO,smile@suryodaybank.com,1800 266 7711,https://www.suryodaybank.com,9 Years (SFB 2017),Western; Southern & Central India (550+ Branches),Vikas Home Loan; Affordable Housing; Renovation & Extension Loan,9.75,14.5,1.00% - 2.00% of loan amount + GST,RBI Registered Scheduled Small Finance Bank
ESAF Small Finance Bank,K. Paul Thomas / Managing Director & CEO,customercare@esafbank.com,1800 103 3723,https://www.esafbank.com,9 Years (SFB 2017),South & Central India (700+ Banking Outlets),ESAF Dream Home; Rural Housing Loan; Home Extension; Balance Transfer,9.4,13.8,1.00% of loan amount + GST,RBI Registered Scheduled Small Finance Bank
Capital Small Finance Bank,Sarvjit Singh Samra / Managing Director & CEO,support@capitalbank.co.in,1800 120 1600,https://www.capitalbank.co.in,10 Years (SFB 2016),Northern India (Punjab; Haryana; Delhi; Rajasthan; HP - 170+ Branches),Capital Home Loan; Plot & Construction Loan; Home Extension; NRI Housing,8.95,11.75,0.50% - 1.00% of loan amount + GST,RBI Registered Scheduled Small Finance Bank
Shivalik Small Finance Bank,Anshul Swami / Managing Director & CEO,support@shivalikbank.com,1800 202 5333,https://www.shivalikbank.com,5 Years (SFB 2021 / Est. 1998),North India (UP; Delhi-NCR; Uttarakhand; MP - 150+ Branches),Shivalik Awas Home Loan; Home Renovation; Construction Loan; Balance Transfer,9.15,12.85,0.75% - 1.25% of loan amount + GST,RBI Registered Scheduled Small Finance Bank
Unity Small Finance Bank,Inderjit Camotra / Managing Director & CEO,care@unitybank.co.in,1800 209 1122,https://www.theunitybank.com,5 Years (SFB 2021),Pan-India (200+ Branches),Affordable Home Loan; Self-Employed Housing Finance; Balance Transfer,9.25,13.5,1.00% of loan amount + GST,RBI Registered Scheduled Small Finance Bank
North East Small Finance Bank,Satish Kumar Kalra / Interim MD & CEO,customercare@nesfb.com,1800 103 2661,https://www.nesfb.com,9 Years (SFB 2017),North-Eastern States & Eastern India (230+ Branches),Affordable Housing Finance; Rural Home Renovation; Self-Construction Loan,9.8,14.5,1.00% - 1.50% of loan amount + GST,RBI Registered Scheduled Small Finance Bank
Wonder Home Finance Ltd,Sanjay Singh Rajawat / Director & CEO,info@wonderhfl.com,0141 405 1111 / 1800 309 3333,https://www.wonderhfl.com,8 Years (Est. 2018),Rajasthan; MP; Gujarat; Haryana (60+ Branches),Affordable Home Purchase; Construction Loan; Home Extension; Renovation Loan,9.75,15,1.50% - 2.00% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
Fasttrack Housing Finance Ltd,Rakesh Kumar / CEO & Nodal Officer,customercare@fasttrackhousing.com,1800 123 8844,https://www.fasttrackhousing.com,7 Years (Est. 2019),Western & Northern India (Rajasthan; Gujarat; MP; UP),Low Ticket Housing Loans; Self-Construction Loan; Home Improvement,10,15.5,1.50% - 2.50% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
Easy Home Finance Ltd (EASY),Rohit Chokhani / Managing Director,support@myeasyhomefin.com,022 6836 2400,https://www.myeasyhomefin.com,9 Years (Est. 2017),Pan-India (Tier 2/3/4 Tech-driven Housing),Paperless Home Loan; Self-Employed Housing Finance; Affordable Home Purchase,9.5,14.5,1.00% - 1.50% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
Aviom India Housing Finance,Kajal Ilmi / Founder & Managing Director,care@aviom.in,011 4118 8000,https://www.aviom.in,10 Years (Est. 2016),North & Central India (120+ Branches across 14 States),Aviom Shakti Women Home Loan; Rural Home Improvement; Self-Construction Loan,10.5,16,2.00% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
Ummeed Housing Finance Pvt Ltd,Ashutosh Sharma / Founder & Managing Director,customercare@ummeedhfc.com,1800 212 6633,https://www.ummeedhfc.com,10 Years (Est. 2016),North & Central India (Rajasthan; Haryana; Delhi; UP; MP - 85+ Branches),Semi-Urban Home Purchase; Construction Loan; Home Extension; Informal Income Loans,9.8,15,1.50% - 2.00% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
Nivara Home Finance Ltd,C. V. Rao / Managing Director & CEO,contact@nivarahousing.com,1800 120 7799,https://www.nivarahousing.com,12 Years (Est. 2014),South & Western India (Karnataka; Tamil Nadu; Andhra Pradesh; Maharashtra),Affordable Housing; Micro Housing Loan; Construction & Improvement Loan,9.6,14.5,1.00% - 2.00% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
Altum Credo Financial Services,Vikrant Joshi / Founder & Managing Director,info@altumcredo.com,020 6762 9000,https://www.altumcredo.com,9 Years (Est. 2017),Maharashtra; Telangana; Tamil Nadu; Andhra Pradesh; Karnataka,Affordable Home Purchase; Self-Construction Loan; Home Renovation,9.75,14.75,1.50% - 2.00% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
Khush Housing Finance Pvt Ltd,Amit Magia / Managing Director & CEO,care@khushhousing.com,1800 266 9911,https://www.khushhousing.com,15 Years (Est. 2011),Maharashtra; Gujarat; Rajasthan (40+ Branches),Khush Dream Home Loan; Construction Loan; Home Extension; Balance Transfer,9.9,15.25,1.50% - 2.00% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
Akme Star Housing Finance Ltd,Mohan Lal / Director,info@akmestarhousing.com,0294 248 9560,https://www.akmestarhousing.com,21 Years (Est. 2005),Rajasthan; MP; Gujarat (Tier 2/3 locations),Rural Housing; Low Ticket Home Loan; Home Extension; Repair Loan,10.25,15.5,1.50% - 2.50% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
JM Financial Home Loans Ltd,Manish Sheth / Managing Director & CEO,homeloans@jmfl.com,1800 266 1122,https://www.jmfinancialhomeloans.com,10 Years (Est. 2016),Western & Southern India (Maharashtra; Gujarat; Telangana; Karnataka),Prime Home Loans; Affordable Housing Loan; Plot + Construction; Balance Transfer,8.95,12.5,0.50% - 1.00% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
APAC Housing Finance Pvt Ltd,Gunit Chadha / Founder & Chairman,contactus@apachfc.com,022 6825 0000,https://www.apachfc.com,9 Years (Est. 2017),Maharashtra; Gujarat; Rajasthan; MP; Karnataka (50+ Branches),Affordable Home Loan; Micro Mortgage; Self-Construction Loan; Home Improvement,9.75,14.5,1.50% - 2.00% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
Ashv Finance Ltd,Nikesh Sinha / Managing Director,info@ashvfinance.com,022 6249 0000,https://www.ashvfinance.com,13 Years (Est. 2013),Pan-India (Tier 2/3 Markets; 40+ Branches),Secured Property Loans; Micro-Housing Finance; Home Renovation,10.5,16,1.50% - 2.50% of loan amount + GST,RBI Registered NBFC-ICC
Five-Star Business Finance Ltd,Lakshmipathy Deenadayalan / Chairman & Managing Director,customercare@fivestargroup.in,044 4860 8400,https://www.fivestargroup.in,42 Years (Est. 1984),South & Central India (450+ Branches in Tamil Nadu; AP; Telangana; Karnataka),Small Property Loans; Self-Construction Finance; Home Renovation for Micro-Entrepreneurs,11.5,18,2.00% - 3.00% of loan amount + GST,RBI Registered NBFC-ND-SI
Standard Chartered Bank India,Zarin Daruwala / Cluster CEO - India & South Asia,customer.care@sc.com,1800 345 5000 / 022 6601 4444,https://www.sc.com/in,168 Years (Est. 1858),Major Metros (Mumbai; Delhi-NCR; Bengaluru; Chennai; Kolkata; Hyderabad; Pune),Home Loan Interest Saver; Standard Home Loan; Balance Transfer with Top-Up; Plot Loan,8.7,9.9,0.50% of loan amount (Min Rs. 5000) + GST,RBI Registered Scheduled Foreign Bank
HSBC India,Hitendra Dave / CEO - HSBC India,info@hsbc.co.in,1800 266 3456 / 1800 120 4722,https://www.hsbc.co.in,173 Years (Est. 1853),Major Tier 1 Cities across India,HSBC Smart Home Loan; HSBC Green Home Loan; NRI Home Loan; Balance Transfer,8.65,9.75,0.50% of loan amount (Min Rs. 10000) + GST,RBI Registered Scheduled Foreign Bank
DBS Bank India,Surojit Shome / Managing Director & CEO,customercareindia@dbs.com,1860 267 4567 / 1800 209 4555,https://www.dbs.com/in,32 Years (Est. 1994),Pan-India (530+ Branches post LVB amalgamation),DBS Home Loan; Home Loan Plus; NRI Housing Finance; Balance Transfer,8.75,10.2,0.50% of loan amount + GST,RBI Registered Scheduled Foreign Bank / WOS
Deutsche Bank India,Kaushik Shaparia / CEO - Deutsche Bank India,customer.care@db.com,1860 266 6601,https://www.deutschebank.co.in,46 Years (Est. 1980),Top 16 Metros across India,Premium Home Loan; Overdraft Home Loan; NRI Home Loan; Balance Transfer,8.75,10,0.50% of loan amount (Min Rs. 10000) + GST,RBI Registered Scheduled Foreign Bank
SBM Bank India (State Bank of Mauritius),Ashish Vijayakar / MD & CEO,customercare@sbmbank.co.in,1800 1033 811,https://www.sbmbank.co.in,32 Years (Est. 1994 / WOS 2018),Major Metros & Commercial Hubs,SBM Home Loan; Premium Housing Finance; Balance Transfer & Top-Up,8.9,10.75,0.50% - 1.00% of loan amount + GST,RBI Registered Scheduled Foreign Bank / WOS
Andromeda Sales and Distribution Pvt Ltd,V. Swaminathan / Executive Chairman & Founder,info@andromedaloans.com,022 6704 5555 / 1800 102 7070,https://www.andromedaloans.com,35 Years (Est. 1991),Pan-India (100+ Cities; 1000+ Branches/Offices),Multi-Bank Home Loans; Balance Transfer; NRI Home Loans; Plot & Construction Loans,8.4,12,Bank Applicable Processing Fees (Zero Brokerage Fee),Authorized Corporate Lending Partner / Pan-India Master DSA Network
Basic Home Loan (Basic Technologies Pvt Ltd),Atul Monga / Co-Founder & CEO,contact@basichomeloan.com,1800 203 0089,https://www.basichomeloan.com,6 Years (Est. 2020),Pan-India (650+ Districts across Bharat / Tier 2; 3; 4),Affordable Home Loans; Construction Loans; Plot Loans; Balance Transfer (60+ Lending Partners),8.5,13.5,Direct Partner Lending Rates (Zero Platform Fee),Fintech Housing Intermediary partnered with RBI-registered Banks & HFCs
Paisabazaar (Policybazaar / PB Fintech),Naveen Kukreja / Co-Founder & CEO,care@paisabazaar.com,1800 208 8877,https://www.paisabazaar.com,12 Years (Est. 2014),Pan-India (Digital Coverage in 1000+ Cities),Instant Home Loan Quotes; Balance Transfer; Pre-Approved Home Loans; PMAY Advisory,8.35,12.5,As per lending bank / HFC partner (Exclusive discounts available),RBI / SEBI Regulated Parent Intermediary Marketplace (PB Fintech)
BankBazaar (A & A Dukaan Financial Services),Adhil Shetty / Co-Founder & CEO,support@bankbazaar.com,044 6651 1800,https://www.bankbazaar.com,18 Years (Est. 2008),Pan-India (Digital Coverage across all States),Co-Branded Home Loans; Balance Transfer; Top-Up; Custom Rate Comparison,8.4,12,Bank partner rate (Special fee waivers on digital applications),Digital Lending Intermediary / Fintech Partner with Scheduled Banks
Ruloans Financial Services Pvt Ltd,Kaushik Mehta / Founder & Managing Director,support@ruloans.com,1800 266 7576,https://www.ruloans.com,26 Years (Est. 2000),Pan-India (3000+ Cities & Towns; 350+ Direct Branches),Home Purchase Loan; Construction Finance; Balance Transfer; NRI Home Loans,8.4,12.5,As per partnered RBI/NHB institution terms,Authorized National Financial Distribution Partner for 150+ Banks & HFCs
