Business Name,Contact Person,Email,Phone,Website,Years of Experience,Pricing Range,Business Description,Service Areas,Product Categories,Supported Brands
Carysil Limited (formerly Acrysil Limited),Chirag Parekh (Chairman & Managing Director),info@carysil.com,+91-278-2510800,https://www.carysil.com,35+ Years (Est. 1987),Mid-Range to Luxury,"Global manufacturer of composite quartz sinks, stainless steel architectural fittings, and premium built-in kitchen hardware.",Pan India & Exporting to 55+ countries,"Quartz Kitchen Sinks, Stainless Steel Designer Sinks, Faucets, Food Waste Disposers, Kitchen Hardware Accessories","Carysil, Sternhagen"
Haier Kitchen & Hardware Solutions,Satish N.S. (President - Haier India),customercare@haierindia.com,+91-11-39496000,https://www.haier.com/in/,20+ Years in India,Mid-Range to Premium,"Consumer durable and kitchen lifestyle division offering modular kitchen fittings, pull-out storage hardware, and appliances.",Pan India,"Modular Kitchen Hardware, Soft-Close Larder Units, Carousel Fittings, Concealed Hinges","Haier, Haier Smart Home"
Excel Architectural Hardware (Excel Home Products),Mukesh Mehta (Director),info@excelhardware.in,+91-22-26857788,https://www.excelhardware.in,22+ Years (Est. 2002),Mid-Range to Premium,"Mumbai-based architectural hardware and furniture fitting distributor offering high-quality sliding systems, handles, and locks.",Pan India,"Sliding Wardrobe Systems, Aluminum Profile Handles, Telescopic Slides, Glass Connectors, Flap Stays","Excel, Excel Pro"
Inox Architectural Hardware (Inox Global),Hemant Shah (Director),sales@inoxhardware.com,+91-22-66992200,https://www.inoxhardware.com,19+ Years (Est. 2005),Mid-Range to Premium,"Specialized stainless steel architectural hardware producer delivering high-grade SS 304/316 mortise handles, locks, and glass fittings.","Pan India, Export Markets","Stainless Steel Lever Handles, Tubular Latches, Glass Patch Fittings, Floor Springs, Ball Bearing Hinges","Inox, Inox Steel"
Sterling Architectural Hardware,Adil Khan (Managing Partner),info@sterlinglocks.com,+91-571-2403322,https://www.sterlinglocks.com,32+ Years (Est. 1992),Economy to Mid-Range,"Aligarh-based locks and architectural hardware manufacturer supplying brass handles, mortise locks, and builders ironmongery.","Pan India, Middle East","Brass Mortise Handles, Pin Cylinder Locks, Heavy Iron Hinges, Tower Bolts, Aldrops","Sterling, Sterling Gold"
Golden Locks & Hardware,Wasim Akram (Proprietor),sales@goldenlocks.in,+91-571-2404455,https://www.goldenlocks.in,28+ Years (Est. 1996),Economy to Mid-Range,"Aligarh lock manufacturer producing security padlocks, mortise lock bodies, zinc handles, and door accessories.",Pan India,"Brass Padlocks, Double Locking Rim Locks, Zinc Mortise Handles, Butt Hinges","Golden, Golden Safe"
Master Locks & Hardware,Farhan Ahmed (Director),info@masterlocks.in,+91-571-2405566,https://www.masterlocks.in,30+ Years (Est. 1994),Economy to Mid-Range,"Aligarh-based security hardware enterprise producing heavy-duty security locks, multi-locking systems, and builders hardware.","Pan India, East Africa","Shutter Padlocks, Square Padlocks, Mortise Handle Sets, Door Latches, Stainless Steel Tower Bolts","Master, Master Guard"
Crown Architectural Hardware,Jayesh Bhalodi (Partner),sales@crownhardware.co.in,+91-2827-287677,https://www.crownhardware.co.in,17+ Years (Est. 2007),Mid-Range,"Rajkot architectural hardware manufacturer providing designer zinc alloy handles, cabinet knobs, and luxury bathroom accessories.",Pan India,"Zinc Door Handles, Luxury Pull Handles, Aluminium Concealed Handles, SS Hinges","Crown, Crown Elite"
Venus Architectural Hardware,Mahesh Patel (Proprietor),info@venushardware.in,+91-2827-287811,https://www.venushardware.in,15+ Years (Est. 2009),Mid-Range,"Rajkot manufacturer of residential and commercial architectural hardware, door handles, and kitchen fittings.",Pan India,"Mortise Handle Sets, Main Door Pull Handles, Profile Handles, Magnetic Door Catchers","Venus, Venus Premium"
Diamond Brass Products,Bipin Shah (Managing Partner),sales@diamondbrass.com,+91-288-2567788,https://www.diamondbrass.com,26+ Years (Est. 1998),Mid-Range,"Jamnagar manufacturer supplying precision turned brass hardware, electrical brass terminals, and architectural fittings.","Pan India, UK, Middle East","Brass Architectural Hinges, Precision Turned Pins, Brass Insert Mouldings, Fasteners",Diamond Brass
Perfect Brass Components,Naveen Patel (Director),info@perfectbrass.in,+91-288-2568899,https://www.perfectbrass.in,20+ Years (Est. 2004),Economy to Mid-Range,"Jamnagar manufacturer specializing in precision brass screws, architectural hinges, window handles, and sanitary components.","Pan India, Export Markets","Brass Screws, Window Fasteners, Sanitary Brass Fittings, Turned Bushings",Perfect Brass
Precision Brass Industries,Ketan Savaliya (Partner),sales@precisionbrass.com,+91-288-2569900,https://www.precisionbrass.com,22+ Years (Est. 2002),Mid-Range,"Jamnagar-based precision brass engineering enterprise producing custom architectural hardware components, anchors, and fittings.","Pan India, Europe, USA","Brass Drop-in Anchors, Knurled Inserts, Architectural Hinges, CNC Turned Parts",Precision Brass
Classic Architectural Hardware,Ashwin Sanghani (Director),info@classichardware.co.in,+91-2827-287554,https://www.classichardware.co.in,19+ Years (Est. 2005),Mid-Range,"Rajkot manufacturer of classic and modern mortise handles, door accessories, and furniture fittings.",Pan India,"Zinc Door Handles, Antique Finish Pull Handles, Tower Bolts, Door Latches","Classic, Classic Heritage"
Elite Architectural Hardware,Dhiren Parikh (Managing Director),sales@elitehardware.in,+91-79-26563322,https://www.elitehardware.in,16+ Years (Est. 2008),Mid-Range to Premium,"Ahmedabad-based architectural hardware distributor and manufacturer specializing in glass hardware, automatic closers, and railings.","Gujarat, Rajasthan, Maharashtra","Glass Railing Balustrades, Floor Springs, Patch Fittings, Shower Connectors, Panic Bars","Elite, Elite Glass"
Metro Architectural Hardware,Vikas Chadha (Proprietor),info@metrohardware.co.in,+91-11-23278899,https://www.metrohardware.co.in,24+ Years (Est. 2000),Mid-Range,"Delhi-based architectural ironmongery supplier catering to commercial real estate, corporate offices, and hospitality projects.","Delhi NCR, North India","Concealed Door Closers, Panic Hardware, Mortise Locks, SS Pull Handles, Glass Patch Fittings","Metro, Metro Architectural"
Apex Architectural Hardware,Sanjeev Narula (Director),contact@apexhardware.in,+91-11-41652233,https://www.apexhardware.in,21+ Years (Est. 2003),Mid-Range to Premium,"New Delhi supplier and manufacturer of premium door control systems, glass architectural hardware, and high-security cylinders.",Pan India,"Floor Springs, Overhead Door Closers, Glass Spider Fittings, SS Pull Handles, Mortise Locks","Apex, Apex Shield"
Supreme Hardware & Fittings,Ramesh Gada (Partner),sales@supremehardware.co.in,+91-22-23425566,https://www.supremehardware.co.in,27+ Years (Est. 1997),Economy to Mid-Range,"Mumbai hardware distributor and wholesaler supplying builders hardware, stainless steel fittings, and sliding systems.","Maharashtra, Goa, Gujarat","Stainless Steel Hinges, Ball Bearing Slides, Tower Bolts, Padlocks, Furniture Locks","Supreme, Supreme Star"
Nova Architectural Hardware,Karthik Swaminathan (Director),info@novahardware.in,+91-80-22234455,https://www.novahardware.in,17+ Years (Est. 2007),Mid-Range to Premium,"Bengaluru-based architectural fittings supplier offering modern door hardware, digital locking systems, and glass facade accessories.","Karnataka, Tamil Nadu, Kerala, Andhra Pradesh","Digital Smart Locks, Glass Partition Hardware, Shower Cubicle Hinges, Mortise Handles, Door Closers","Nova, Nova Tech"
Prime Hardware Solutions,Anand Deshmukh (Managing Partner),sales@primehardwaresolutions.in,+91-20-24456677,https://www.primehardwaresolutions.in,18+ Years (Est. 2006),Mid-Range,Pune architectural hardware dealer and project supplier providing comprehensive door and window fittings for builders and architects.,Maharashtra,"Mortise Locksets, Hydraulic Door Closers, Window Friction Stays, SS Pull Handles, Glass Fittings","Prime, Prime Pro"
Zen Architectural Hardware,Srikanth Reddy (Director),info@zenhardware.co.in,+91-40-23348899,https://www.zenhardware.co.in,15+ Years (Est. 2009),Mid-Range to Premium,"Hyderabad architectural hardware and interior fittings provider specialized in minimalist designer handles, sliding systems, and smart locks.","Telangana, Andhra Pradesh","Designer Door Handles, Concealed Sliding Systems, Smart Door Locks, Aluminium Profiles, Glass Patch Fittings","Zen, Zen Studio"
Vertex Glass Hardware & Architectural Fittings,Manish Vora (Managing Director),sales@vertexglasshardware.com,+91-22-66954411,https://www.vertexglasshardware.com,19+ Years (Est. 2005),Mid-Range to Premium,"Specialist in architectural glass fittings, shower cubicle accessories, point fixed glass facade spiders, and patch fittings.",Pan India,"Glass Spider Fittings, Routels, Glass Canopy Brackets, Shower Hinges, Glass Sliding Systems","Vertex, Vertex Glass"
Glazetech Architectural Glass Fittings,Rajiv Khanna (Proprietor),info@glazetechhardware.com,+91-11-42456677,https://www.glazetechhardware.com,16+ Years (Est. 2008),Mid-Range to Premium,"Delhi-based manufacturer of architectural glass fittings, floor springs, frameless glass door locks, and shower enclosure components.",Pan India,"Frameless Glass Locks, Hydraulic Floor Springs, Patch Fittings, Shower Connectors, Glass Railing Bases",Glazetech
Glasscraft Architectural Hardware,Nirav Shah (Partner),contact@glasscraft.co.in,+91-79-26447788,https://www.glasscraft.co.in,14+ Years (Est. 2010),Mid-Range to Premium,"Ahmedabad architectural glass solution enterprise providing spider fittings, glass canopy systems, and aluminium partition profiles.","Gujarat, Maharashtra, Madhya Pradesh","Glass Partition Profiles, Spider Fittings, Shower Door Seals, Magnetic Glass Latches, Floor Springs",Glasscraft
Techno Architectural Hardware,Bhavesh Faldu (Director),info@technohardware.in,+91-2827-287411,https://www.technohardware.in,17+ Years (Est. 2007),Mid-Range,"Rajkot manufacturer of precision zinc alloy door handles, stainless steel pull handles, and modern cabinet fittings.",Pan India,"Mortise Handle Sets, Main Door Pull Handles, Wardrobe Profile Handles, Stainless Steel Butt Hinges","Techno, Techno Gold"
Crystal Architectural Glass Fittings,Sameer Merchant (Managing Partner),sales@crystalglasshardware.com,+91-22-23478899,https://www.crystalglasshardware.com,21+ Years (Est. 2003),Mid-Range to Premium,"Mumbai manufacturer and importer of specialized architectural glass hardware, patch fittings, and glass railing spigots.","Pan India, Middle East","Stainless Steel Glass Spigots, Glass Brackets, Patch Locks, Floor Hinges, Glass Railing Base Channels","Crystal, Crystal Glass"
Alumil Architectural Systems India,Theodoros Axouristos (Managing Director),info.india@alumil.com,+91-22-67448800,https://www.alumil.com/india,10+ Years in India (Global Est. 1988),Luxury to Ultra-Luxury,"European manufacturer of advanced aluminium architectural systems, thermal break window hardware, and minimalist sliding fittings.",Pan India,"Thermal Break Window Hardware, Minimalist Sliding Door Fittings, Bi-fold Hardware, Curtain Wall Brackets","Alumil, Supreme, Smartia"
Schüco India Building Systems Pvt. Ltd.,Ashish Kapoor (Managing Director),info@schueco.in,+91-80-66779900,https://www.schueco.in,15+ Years in India (Global Est. 1951),Ultra-Luxury,"German global market leader in premium aluminium window, door, and facade systems and high-precision integrated hardware.",Pan India (Tier 1 Metros),"Concealed Window Hardware, Heavy Duty Sliding Fittings, Panorama Design Door Hardware, Multi-point Locking Systems","Schüco, Schüco AvanTec, SimplySmart"
Reynaers Aluminium Architectural Hardware India,Sudhir Kulkarni (Managing Director),info.india@reynaers.com,+91-22-61349000,https://www.reynaers.in,18+ Years in India (Global Est. 1965),Ultra-Luxury,"Belgian European specialist in developing sustainable aluminium architectural systems, minimalist sliding doors, and facade fittings.",Pan India,"Lift & Slide Door Hardware, Slim Line Window Fittings, High Security Multi-point Locks, Automated Sliding Actuators","Reynaers Aluminium, Hi-Finity, ConceptSystem"
Alupure Architectural Systems (Profine India),Farid Khan (Director & CEO),info@alupure.co.in,+91-265-3057000,https://www.alupure.co.in,12+ Years in India (Global Est. 1897),Premium to Luxury,German engineered aluminium window and door systems with European multi-point locking mechanisms and precision hardware.,Pan India,"Aluminium Sliding Systems Hardware, Casement Window Hardware, Multi-point Gear Locks, Corner Connectors","AluPure, KÖMMERLING, Profine"
Fenesta Building Systems (Hardware Division),Saket Jain (Business Head),response@fenesta.com,+91-1800-102-9880,https://www.fenesta.com,22+ Years (Est. 2002),Mid-Range to Luxury,"India's largest uPVC and aluminium window and door brand (part of DCM Shriram), manufacturing integrated multi-point locking hardware.",Pan India (Over 350 cities),"uPVC Window Handles, Multi-point Locking Espagnolettes, Friction Stays, Rollers & Tracks, Door Hinges","Fenesta, DCM Shriram"
McCoy 8m Architectural Hardware (McCoy Group),Amit Malhotra (Director),info@mccoy8m.com,+91-11-45628800,https://www.mccoy8m.com,25+ Years (Est. 1999),Mid-Range to Premium,"Integrated architectural hardware manufacturer specializing in uPVC and aluminium window & door hardware, silicones, and fasteners.","Pan India, SAARC, Middle East","Espagnolette Locks, Window Handles, Sliding Rollers, Door Hinges, Silicones & Sealants","McCoy 8m, McCoy Sound"
Kinlong Architectural Hardware India,Jack Zhang / Rajesh Sharma (Country Head),india@kinlong.com,+91-124-4286699,https://www.kinlong.com,15+ Years in India (Global Est. 2003),Mid-Range to Premium,"International architectural hardware manufacturer providing complete building hardware systems for glass facades, doors, and windows.",Pan India,"Curtain Wall Hardware, Spider Fittings, Door Controls, Floor Springs, Friction Stays, Point Supported Glass Brackets",Kinlong
Sobinco Architectural Hardware India,Vincent De Roo (Sales Director),india@sobinco.com,+91-22-61234500,https://www.sobinco.com,12+ Years in India (Global Est. 1961),Premium to Luxury,"Belgian specialist in premium hardware for aluminium windows, doors, and sliding systems featuring European certification.",Pan India,"Tilt & Turn Window Hardware, Sliding Door Locks, Lift & Slide Rollers, Flush Handles, Concealed Hinges","Sobinco, Chrono, Edge"
Savio Architectural Hardware India,Andrea Zignani (Head of Sales),info@savio.it,+91-11-41005544,https://www.savio.it,14+ Years in India (Global Est. 1889),Premium to Luxury,"Italian hardware manufacturer for aluminium windows and doors, renowned for concealed hinges and multi-point perimeter locking systems.",Pan India,"Perimeter Hardware, Concealed Hinges for Aluminium, Multi-point Espagnolettes, Cremone Bolts","Savio, Ribanta, Maniglie"
