Business Name,Contact Person,Email,Phone,Website,Years of Experience,Pricing Range,Business Description,Service Areas,Units Managed,Fee Structure
JLL India (Jones Lang LaSalle Property Consultants India Pvt. Ltd.),"Radha Dhir (CEO & Country Head, India) / Raman Bountra (Head of Property Management, India)",query.india@ap.jll.com,+91 124 460 5000,https://www.jll.com/en-in,28 years in India (Established 1998),Custom per-sq.-ft. or enterprise asset management retainer,"Global real estate professional services firm delivering comprehensive property management, maintenance engineering, asset optimization, financial accounting, and tenant leasing services.","Delhi, Gurgaon, Noida, Greater Noida, Faridabad",300+ million sq. ft. under management in India,Percentage of operating expenditure / Custom annual management retainers
Colliers International India (Property Services),"Badal Yagnik (CEO, Colliers India) / Joe Verghese (Managing Director)",info.india@colliers.com,+91 124 416 7777,https://www.colliers.com/en-in,31 years in India (Established 1995),Custom per-sq.-ft. or annual property asset management retainer,"Leading diversified professional real estate services firm providing comprehensive property and asset management, facility maintenance, energy audits, and lease management for residential and commercial portfolios.","Delhi, Gurgaon, Noida, Greater Noida, Ghaziabad, Faridabad",250+ million sq. ft. managed nationwide,Percentage of gross asset operating revenue or fixed per-sq.-ft. fee
Rajam Property Management Services Pvt. Ltd. (RAPRO),Kaliyamurthy Chandrasekar (Founder & Managing Director),enquiry@rajamproperty.in,+91-7299914181,https://rajamproperty.com/,31 years (Est. 1995),"₹10,000 - ₹35,000/yr","Rajam Property Management specializes in residential property care, tenancy management, complete refurbishment, and legal assistance tailored for NRIs.","Chennai, Bangalore, Coimbatore","2,500+ properties",Tiered annual retainer based on property configuration + 1 month rent for tenant placement
Propertism Realty Advisors LLP,Tamilselvan (Managing Partner),info@propertism.in,+91-9884068317,https://www.propertism.in/,11 years (Est. 2015),"₹12,000 - ₹28,000/yr","Propertism offers structured real estate asset and tenancy management for NRIs, overseeing tenant acquisition, lease administration, and periodic physical audits.","Chennai, Chengalpattu, Kanchipuram",800+ properties,Annual management retainer + 1 month rent for new tenant sourcing
Konnect Realty,V. Suresh (Principal Consultant),konnect@konnectrealty.com,+91-9884068317,https://konnectrealty.com/,17 years (Est. 2009),"₹10,000 - ₹25,000/yr","Konnect Realty provides NRI property care and residential rental management including background-checked tenant matching, timely rent collection, and maintenance coordination.","Chennai, Adyar, OMR, ECR, Anna Nagar","1,000+ properties",1 month rent for lease execution + annual maintenance retainer
360 Property Management Services,Thamilarasan (Managing Partner),tamil@360propertymanagement.in,+91-9894781222,https://www.360propertymanagement.in/,14 years (Est. 2012),"₹8,000 - ₹24,000/yr","360 Property Management specializes in complete residential and vacant plot management, tenant onboarding, quarterly inspection reports, and bill/tax compliance.","Chennai, Coimbatore",650+ units,Fixed annual retainer fee + 1 month rent for leasing services
D.C. Buildtech Property Management,Debashis Chakraborty (Managing Director),dcbuildtechkol@gmail.com,+91-9830054321,https://www.dcbuildtech.com/,9 years (Est. 2017),"₹10,000 - ₹30,000/yr","DC Buildtech offers specialized end-to-end residential property care, renovation, and rental management in Kolkata for NRIs and outstation property owners.","Kolkata, Salt Lake City, New Town, Howrah",450+ properties,Annual inspection and maintenance retainer + 1 month rent for tenant placement
Heaven Group (Heaven Space),Chirag Kapadiya (Founder & Director),info@heavengroup.in,+91-9925001289,https://www.heavengroup.in/,10 years (Est. 2016),"₹12,000 - ₹32,000/yr","Heaven Group provides full-service real estate advisory and residential property management in Gujarat, including tenant screening, rental administration, and property upkeep.","Ahmedabad, Gandhinagar, Surat",600+ properties,1 month rent for rental brokerage + 5% - 8% monthly maintenance charge
66 MG Road,Vikram R. (Co-Founder & Product Head),care@66mgroad.com,+91-8069006600,https://66mgroad.com/,5 years (Est. 2021),"₹30,000 - ₹60,000/yr (min ₹2,500/month)","66 MG Road is a premium property concierge for NRI landlords, offering transparent, commission-free tenant management, itemized maintenance billing, and legal support.","Hyderabad, Chennai, Mumbai, Pune, Bangalore, Gurugram",500+ properties,"Tenancy placement from 1 month rent + full management from 5% of monthly rent (min ₹2,500/month)"
Settlin (Linking Spaces Technologies Pvt. Ltd.),Ashish Srivastava (Co-Founder & CEO),hello@settlin.in,+91-9590039003,https://settlin.in/,10 years (Est. 2016),2% of property transaction value / custom management plans,"Settlin provides end-to-end residential asset management, property inspection, verified tenant onboarding, and legal conveyance services in Bengaluru.",Bangalore,"8,000+ properties served",2% of total transaction value or standard tenant onboarding fee
Unplan Services,Ashish Kumar (Operations Manager),care@unplan.in,+91-9108284705,https://www.unplan.in/,11 years (Est. 2015),"₹10,000 - ₹30,000/yr","Provides integrated property maintenance, cleaning, renovation, tenant turnover preparation, and remote property monitoring for homeowners.","Bangalore, Mysore","1,200+ properties",Annual maintenance subscription + on-demand service pricing for repairs and renovation
Propshield Property Management,S. Vignesh (Managing Partner),contact@propshield.in,+91-9911834843,https://propshield.in/,6 years (Est. 2020),"₹8,000 - ₹22,000/yr","Focuses on residential property care, NRI tenancy management, lease agreement compliance, property viewing services, and routine upkeep.","Chennai, Chengalpattu, Kanchipuram",400+ properties,Fixed annual retainer + 1 month rent for tenant placement
Property Handling (AK Property Handling Services LLP),K. Anjaneyulu (Managing Partner),info@propertyhandling.com,+91-9542838565,https://www.propertyhandling.com/,9 years (Est. 2017),"₹12,000 - ₹30,000/yr","NRI-run property management firm offering tenant placement, rental collection, property preservation, and legal assistance across Telugu states.","Hyderabad, Vijayawada, Guntur, Visakhapatnam",900+ properties,1 month rent for tenant placement + fixed annual management fee
Cosmic Property Management (Cosmic One),S. R. Reddy (Senior Property Consultant),cosmicone09@gmail.com,+91-40-27665544,https://cosmicpropertymanagement.in/,10 years (Est. 2016),"₹10,000 - ₹25,000/yr","Delivers end-to-end rental and property management, online rent agreements, and NRI advisory services in Hyderabad and Bangalore.","Hyderabad, Bangalore",500+ properties,Tiered annual plan + 1 month rent for tenant leasing
HomeAmbit LLP,Sourabh Kumar Singh (Designated Partner / Director),services.homeambit@gmail.com,+91-80-41234567,https://www.homeambit.com/,5 years (Est. 2021),"₹10,000 - ₹25,000/yr","Provides specialized residential property management, rental facilitation, and commercial asset consultancy for property owners in North and East Bangalore.",Bangalore,350+ units,1 month rent for tenant placement + annual maintenance fee
Zeztate Property Management Services,Jithesh Kumar (Head of Client Relations),mail@zeztate.com,+91-9142526200,https://zeztate.com/,12 years (Est. 2014),"₹10,000 - ₹28,000/yr","Leading Kerala-based property management and home care firm offering project management, deep cleaning, building maintenance, utility bill management, and NRI property caretaking.","Kochi, Ernakulam, Kakkanad, Aluva","1,100+ properties",Customized annual home care package + 1 month rent for rental facilitation
Embassy Services Pvt. Ltd. (ESPL),Pradeep Lala (Managing Director & CEO),embassyplus@embassyservices.in,+91 80 4179 9999,https://embassyservices.in,31 Years (Est. 1995),₹2.50 - ₹6.50 / sq. ft. / month (CAM rate),"Embassy Services Pvt. Ltd. (ESPL) is the integrated property and facility management arm of Embassy Group, managing large-scale commercial business parks, industrial hubs, and luxury residential projects across India.","Bangalore, Mumbai, Pune, Delhi NCR, Chennai, Hyderabad, Coimbatore, Trivandrum",130+ Million sq. ft. across 150+ commercial business parks and residential properties,Square-footage maintenance fee (CAM rate model) / Fixed monthly facility & asset management retainer
Prestige Property Management & Services (PPMS),Javed Shafiq Rao (CEO - Property Management),properties@prestigeconstructions.com,+91 80 2559 1080,https://www.prestigeconstructions.com,30 Years (Est. 1996),₹2.50 - ₹5.00 / sq. ft. / month (CAM) | 1 Month Rent Placement,"Prestige Property Management & Services (PPMS) delivers property management, leasing, resale support, facility operations, and maintenance services across Prestige Group residential and commercial developments.","Bangalore, Chennai, Hyderabad, Kochi, Mumbai, Goa, Mangalore","50,000+ residential and commercial units across 300+ developments",Common Area Maintenance (CAM) per sq. ft. + 1-month rental equivalent for leasing and tenant management
Knight Frank India (Property Services Division),Shishir Baijal (Chairman & Managing Director),Secretarial.KFIndia@in.knightfrank.com,+91 22 6757 4000,https://www.knightfrank.co.in,31 Years in India (Est. 1995),3% - 7% of Gross Operating Revenue / Custom Retainer,"Knight Frank India provides full-scope property asset management, facility management, tenant advisory, leasing coordination, and valuation services for institutional investors and premium residential owners.","Mumbai, Delhi NCR, Bangalore, Pune, Chennai, Hyderabad, Kolkata, Ahmedabad","80+ Million sq. ft. of prime commercial, industrial, retail, and luxury residential real estate",Percentage of Gross Asset Revenue / Structured Asset Management Retainer
Cushman & Wakefield India (Asset Services),"Anshul Jain (Chief Executive – India, SE Asia, MEA & APAC)",india.marketing@cushmanwakefield.com,+91 22 6771 5555,https://www.cushmanwakefield.com/en/india,29 Years in India (Est. 1997),₹3.00 - ₹8.00 / sq. ft. / month for Commercial & Industrial Assets,"Cushman & Wakefield India delivers comprehensive asset services, property lifecycle management, sustainability advisory, tenant representation, and facility operations.","Delhi NCR, Mumbai, Bangalore, Hyderabad, Chennai, Pune, Kolkata, Ahmedabad","100+ Million sq. ft. across institutional commercial, retail, logistics, and residential spaces",Operating Budget Percentage / CAM-linked Management Fee + Leasing Success Commission
Savills India (Property Management & Advisory),Anurag Mathur (Chief Executive Officer),contact@savills.in,+91 22 6884 1500,https://www.savills.in,10+ Years in India (Global Heritage 160+ Years),₹3.50 - ₹7.50 / sq. ft. / month for Mixed-Use & Grade-A Assets,"Savills India offers property management, leasing advisory, project management, and valuation services across commercial office towers, logistics hubs, and residential communities.","Mumbai, Bangalore, Delhi NCR, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad","45+ Million sq. ft. of commercial, industrial, and mixed-use properties",Structured Asset Management Retainer + Performance Incentive on Net Operating Income (NOI)
StayVista (Stay Vista Pvt. Ltd.),Amit Damani (Co-Founder),care@stayvista.com,+91 22 4896 6699,https://www.stayvista.com,11 Years (Est. 2015),20% - 30% Owner Commission on Gross Bookings,"StayVista is India's premier luxury villa and vacation rental management company, providing complete turnkey property management, 24/7 guest relations, dynamic pricing, housekeeping, and maintenance.","Goa, Lonavala, Alibaug, Kasauli, Manali, Ooty, Coorg, Udaipur, Jaipur, Wayanad, Mussoorie","1,200+ luxury holiday homes and private estates across 50+ destinations",20% - 30% revenue share on gross rental booking revenue
SaffronStays (Saffron Hospitality),Tejas Parulekar (Co-Founder & Director),book@saffronstays.com,+91 80 6916 0000,https://www.saffronstays.com,11 Years (Est. 2015),25% - 35% Commission on Bookings,"SaffronStays operates as a curated vacation estate management collective, offering private homeowners end-to-end property upkeep, resident caretakers, hospitality training, and guest hosting.","Maharashtra (Alibaug, Lonavala, Karjat), Goa, Uttarakhand, Himachal, Ooty, Coorg, Rajasthan","300+ curated luxury villas, heritage estates, and country homes",30% revenue share on gross bookings + initial onboarding/auditing fee
RentMyStay (Brightpath Technology & Services Pvt. Ltd.),Rajesh Kumar (Co-Founder & CEO),contact@rentmystay.com,+91 90357 50377,https://www.rentmystay.com,12 Years (Est. 2014),"8% - 12% Monthly Management Fee (or ₹15,000 - ₹35,000/yr)","RentMyStay offers full-stack residential property management and flexible rental solutions for apartment owners, managing tenant search, digital lease agreements, rent collections, and repairs.","Bangalore, Hyderabad, Pune, Chennai","2,500+ fully-furnished and semi-furnished apartments",10% monthly property management fee or 1-month brokerage equivalent per 11-month lease cycle
Zolostays (Zolostays Property Solutions Pvt. Ltd.),Dr. Nikhil Sikri (Co-Founder & CEO),contact@zolostays.com,+91 88 8051 0020,https://zolostays.com,11 Years (Est. 2015),15% - 25% Revenue Share / Guaranteed Lease Model,"Zolostays is India's largest co-living and managed residential housing provider, managing entire standalone residential properties and apartments with full facility maintenance, IoT integration, and housekeeping.","Bangalore, Hyderabad, Pune, Chennai, Delhi NCR, Mumbai, Kota, Coimbatore","50,000+ beds across 500+ residential properties",Fixed monthly lease rental guarantee to property owners or 15% - 25% revenue-share operational model
Colive (Colive Real Estate Management Pvt. Ltd.),Suresh Rangarajan (Founder & CEO),hello@colive.com,+91 76760 00500,https://www.colive.com,10 Years (Est. 2016),12% - 20% Operational Management Cut,"Colive operates a technology-driven network of fully-managed co-living and rental homes for working professionals, overseeing building maintenance, safety infrastructure, and community management.","Bangalore, Chennai, Hyderabad, Pune","30,000+ beds across 150+ managed residential properties",Minimum rental guarantee payout to property owners or 15% - 20% management revenue cut
Settl. (The Settl / Settl Living),Abhishek Tripathi (Co-Founder),hello@thesettl.com,+91 93531 62534,https://www.thesettl.com,6 Years (Est. 2020),15% - 20% Revenue Share / Master Lease,"Settl. is a modern proptech co-living and residential property management company that transforms multi-unit buildings into high-yield, fully-serviced living spaces with integrated maintenance.","Bangalore, Hyderabad, Chennai, Gurugram","4,000+ beds across 60+ residential buildings",15% - 20% revenue share on gross rental bookings or fixed long-term master lease
Truliv (Truliv Properties & Services Pvt. Ltd.),Rohit Reddy (Co-Founder),info@truliv.in,+91 90432 21620,https://truliv.in,15 Years (Est. 2011),15% - 20% Asset Management Fee,"Truliv is a Chennai-based property management and co-living operator managing curated student housing, working professional accommodations, and holiday apartments with complete operational oversight.","Chennai, Coimbatore, Hyderabad, Bangalore","5,000+ beds and residential units across 35+ properties",Master lease agreement with guaranteed rental yield or 18% management fee on gross collections
SmartOwner (SmartOwner Services India Pvt. Ltd.),Vikram Chari (Founder),info@smartowner.com,+91 80 4939 6900,https://www.smartowner.com,14 Years (Est. 2012),1.0% - 2.0% AUM Annual Management Fee,"SmartOwner is a premier property asset management and real estate investment advisory firm providing portfolio curation, asset monitoring, maintenance supervision, and yield optimization.","Bangalore, Mumbai, Hyderabad, Pune, Chennai, Delhi NCR","₹5,000+ Crore in real estate assets under management across 25+ major developments",1.5% - 2% annual asset management fee + performance carry upon property liquidation/exit
Lohono Stays (Isprava Group),Nibhrant Shah (Co-Founder & CEO),info@lohono.com,+91 84339 52970,https://www.lohono.com,13 Years (Est. 2013 under Isprava Group),25% - 35% Hospitality Management Fee,"Lohono Stays by Isprava is India's leading ultra-luxury vacation villa and private estate management brand, offering bespoke hospitality, dedicated concierge teams, gourmet chefs, and maintenance.","Goa, Alibaug, Lonavala, Coonoor, Ooty, Kasauli, Shimla, Karjat, Mahabaleshwar, Jaipur",400+ ultra-luxury villas and heritage country homes,25% - 35% revenue share on gross bookings + estate maintenance pass-through costs
ELIVAAS (Elivaas Technologies Pvt. Ltd.),Ritwik Khare (Founder & CEO),support@elivaas.com,+91 80691 60099,https://www.elivaas.com,3 Years (Est. 2023),20% - 30% Management Commission,"ELIVAAS is a tech-first luxury vacation rental and property management enterprise, providing property owners with digital twin 3D modeling, dynamic yield management, and dedicated on-ground facility managers.","Delhi NCR, Goa, Udaipur, Jaipur, Mussoorie, Nainital, Alibaug, Kasauli, Shimla, Coorg",250+ luxury vacation villas and holiday farmhouses,20% - 30% revenue share on gross rental income via owner dashboard
Ekostay (Ekostay LLP),Husain Khatumdi (Co-Founder),reservations@ekostay.com,+91 81690 19090,https://ekostay.com,8 Years (Est. 2018),20% - 25% Management Commission,"Ekostay manages private holiday villas, homestays, and farmhouses, removing the administrative hassle for property owners through housekeeping, linen management, OTA pricing, and caretaking.","Lonavala, Alibaug, Panchgani, Mahabaleshwar, Goa, Igatpuri, Manali, Shimla, Ooty, Wayanad",350+ vacation villas and holiday homes across 20+ tourist hubs,20% - 25% commission on gross booking revenue
Hireavilla (Hireavilla Hospitality Pvt. Ltd.),Saagar Panchal (Founder & CEO),info@hireavilla.in,+91 88888 77755,https://www.hireavilla.in,10 Years (Est. 2016),20% - 30% Revenue Share,"Hireavilla is a holiday home and villa management company managing private estates, boutique farmhouses, and beach villas, providing end-to-end guest service, maintenance audits, and upkeep.","Goa, Maharashtra (Lonavala, Alibaug, Karjat, Igatpuri), Himachal, Uttarakhand, Kerala",200+ private villas and managed holiday homes,20% - 30% revenue share on bookings + actual maintenance pass-through
Isprava (Isprava Vesta Pvt. Ltd.),Nibhrant Shah (Managing Director & CEO),cs@isprava.com,+91 22 6808 0808,https://www.isprava.com,13 Years (Est. 2013),₹3.5 Lakh - ₹8.5 Lakh / year (Annual Estate Management Contract),"Isprava develops and provides exclusive lifetime estate management, horticulture, swimming pool care, security, electrical/plumbing servicing, and bespoke concierge services for luxury estates.","Goa, Alibaug, Nilgiris (Coonoor & Kotagiri), Kasauli",150+ ultra-luxury private estates and villas under comprehensive annual maintenance,Annual Comprehensive Estate Management Retainer Contract based on plot size and amenities
Pin Click Property Management (Pin Click Property Management Pvt. Ltd.),Manik Kinra (Co-Founder),manik@pinclick.com,+91 80 4646 9999,https://www.pinclick.com,13 Years (Est. 2013),8% - 10% Monthly Fee or 1 Month Brokerage,"Pin Click delivers end-to-end residential property management, verified tenant placement, periodic photographic inspection reports, rent collection, and legal lease registration.","Bangalore, Pune, Mumbai, Delhi NCR, Hyderabad","8,000+ residential apartments and gated community villas",8% - 10% monthly property management fee or standard 1-month rental tenant placement fee
KOTS (KOTS Renting Pvt. Ltd. / KOTS Housing),Ponguru Reddy Vijeth Kumar (Founder & Managing Director),hello@kots.world,+91 85508 80555,https://www.kots.world,7 Years (Est. 2019),Assured Multi-Year Rental Payout / Guaranteed Yield,KOTS is a proptech property management and urban rental housing company that leases entire residential buildings and individual flats from owners on 3-to-9-year guaranteed contracts.,"Bangalore (Whitefield, Bellandur, Marathahalli, Mahadevapura, Hennur, Sarjapur Road)","2,000+ urban gated apartment units across 40+ residential buildings",Guaranteed Monthly Rental Payout to owner with zero vacancy loss (10% - 15% operational spread)
HelloWorld (Helloworld Technologies India Pvt. Ltd.),Gaurav Kachru (Co-Founder),tech@thehelloworld.com,+91 93531 62534,https://thehelloworld.com,7 Years (Est. 2019),15% - 20% Operational Fee,"HelloWorld is a major co-living, student housing, and rental property management brand managing residential real estate with digital KYC, housekeeping, maintenance, and community amenities.","Bangalore, Hyderabad, Pune, Mumbai, Delhi NCR, Jaipur, Ahmedabad, Indore, Kolkata, Chennai","20,000+ beds across 250+ properties in 10+ cities",15% - 20% revenue share on gross rental collections or long-term lease contract
Grexter Living (Grexter Housing Solutions Pvt. Ltd.),Pratul Gupta (Co-Founder),pratul.gupta@grexter.in,+91 88805 10020,https://grexter.in,11 Years (Est. 2015),12% - 18% Management Fee / Master Lease,"Grexter Living provides fully managed shared and private living accommodations for working professionals, offering complete residential building management, security, housekeeping, and repairs.","Bangalore, Pune, Hyderabad","6,000+ beds across 50+ residential buildings",Master lease rental guarantee or 15% property management operational fee
Olive Serviced Apartments,Kunal Puri (Managing Director),sales@oliveservicedapartments.com,+91 72900 29000,https://oliveservicedapartments.com,16 Years (Est. 2010),15% - 25% Revenue Share / Long-term Corporate Lease,"Olive Serviced Apartments operates and manages serviced residences and corporate apartments, providing homeowners with corporate leasing, contact-free housekeeping, and utility management.","Delhi NCR, Bangalore, Hyderabad, Pune, Mumbai, Chennai, Kolkata, Ahmedabad, Jaipur, Goa","1,500+ serviced apartments and corporate suites",20% - 25% revenue share on gross rental bookings or long-term fixed corporate lease
SaltStayz (Saltstayz Hospitality Pvt. Ltd.),Rohit Tiwari (Founder & CEO),bookings@saltstayz.com,+91 95991 99610,https://saltstayz.com,6 Years (Est. 2020),18% - 25% Operating Revenue Share / Assured Lease,"SaltStayz is a boutique hospitality, serviced apartment, and asset management company operating standalone commercial and residential buildings with end-to-end facility management.","Delhi NCR (Gurugram, Noida, New Delhi), Chandigarh, Mohali, Lucknow","1,200+ rooms and serviced suites across 45+ managed properties",18% - 25% operating revenue share or assured lease rental model
FF21 (Sherwood Longstay Pvt. Ltd.),Ajay Nemani (Founder & CEO),info@ff21.in,+91 93531 62534,https://www.ff21.in,9 Years (Est. 2017),15% - 20% Revenue Share / Master Lease,"FF21 is a design-forward community living and property management brand operating fully serviced coliving buildings, studio pods, and shared apartments equipped with facilities management.","Bangalore (Whitefield, Marathahalli, Mahadevapura, HBR Layout, Kundanahalli, Bellandur)","3,500+ beds across 28+ properties",Long-term asset lease guarantee or 15% - 20% revenue-share management agreement
Brigade Property Management & Services (Brigade Group),Pavitra Shankar (Managing Director),customercare@brigadegroup.com,+91 80 4137 9200,https://www.brigadegroup.com,38 Years (Est. 1986),₹2.50 - ₹5.00 / sq. ft. / month (CAM) | 1 Month Rent Placement,"Brigade Group's property management division providing end-to-end facility management, tenant leasing support, resale assistance, and estate maintenance for residential and commercial complexes.","Bangalore, Chennai, Hyderabad, Mysore, Kochi, GIFT City Ahmedabad","35,000+ residential and commercial units",CAM per sq. ft. + 1 month rent for leasing management
Sobha Facilities & Property Management (Sobha Ltd),Ravi PNC Menon (Chairman) / Operations Team,feedback@sobha.com,+91 80 4932 0000,https://www.sobha.com,30 Years (Est. 1995),₹2.50 - ₹4.50 / sq. ft. / month (CAM),"Property and facility management division of Sobha Ltd, providing common area maintenance, electro-mechanical operations, tenant move-in assistance, and landscaping.","Bangalore, Chennai, Coimbatore, Kochi, Thrissur, Pune, Gurgaon","40,000+ luxury apartments and villas across India",Common Area Maintenance (CAM) per sq. ft. / monthly society retainer
BnbCheck Property Management,Siddharth Goenka (Founder & Managing Partner),contact@bnbcheck.com,#ERROR!,https://bnbcheck.com,8 Years (Est. 2018),15% - 20% commission on gross booking revenue,"Specialized Airbnb co-hosting, luxury vacation home property management, dynamic revenue management, and housekeeping across premier tourist hubs.","Goa, Mumbai, Alibaug, Lonavala",180+ villas and luxury apartments,18% revenue share on gross booking revenue
