Business Name,Contact Person,Email,Phone,Website,Years of Experience,Pricing Range,Business Description,Service Areas,Materials,Supported Brands
Siddharth Marbles (Jaipur),Siddharth Sharma (Director),siddharthmarblesjaipur@gmail.com,+91 141 233 4455,https://siddharthmarbles.com,23+ Years (Est. 2001),Economy to Luxury (₹60 - ₹800/sq.ft),"Rajasthan stone wholesaler and supplier of Makrana marble, Morwad white, Jaisalmer yellow stone, and precision vitrified tiles.","Jaipur, Ajmer, Sikar, Alwar, Rajasthan","Makrana White Marble, Morwad White, Jaisalmer Yellow Sandstone, Vitrified Tiles","Kajaria, Orientbell, In-house Processed Stone"
Vardhman Ceramics & Bathworld (Pune),Vardhman Jain (Proprietor),vardhmanceramics.pune@gmail.com,+91 20 2444 8899,https://vardhmanceramics.com,20+ Years (Est. 2004),Mid-Range to Premium (₹60 - ₹500/sq.ft),"Prominent Pune tile boutique offering Italian marble finish vitrified slabs, Moroccan highlighter tiles, wooden floor planks, and complete bathware solutions.","Pune, PCMC, Hadapsar, Hinjewadi, Maharashtra","Vitrified Slabs, Designer Wall Highlighter Tiles, SPC Vinyl Flooring, Moroccan Tiles","Kajaria, Simpolo, Varmora, Grohe, Jaquar"
Kajaria Ceramics Limited (Delhi Corporate),Ashok Kajaria (Chairman) / Chetan Kajaria (Joint Managing Director),info@kajariaceramics.com,-26946329,https://www.kajariaceramics.com,38+ Years (Est. 1988),₹45 - ₹350 / sq.ft (Economy to Luxury),"India's largest ceramic and vitrified tile manufacturer, providing glazed vitrified tiles, ceramic wall & floor tiles, polished vitrified surfaces, and large format sintered slabs for residential and commercial infrastructure.","Delhi NCR, Uttar Pradesh, Haryana, Punjab, North India, Pan-India","Glazed Vitrified Tiles (GVT), Polished Vitrified Tiles (PVT), Ceramic Wall & Floor Tiles, Sintered Slabs, Large Format Porcelain","Kajaria, Eternity, The Ultima, Kerovit"
Somany Ceramics Limited (Noida HQ),Abhishek Somany (Managing Director & CEO),marketing@somanyceramics.com,-4627929,https://www.somanyceramics.com,55+ Years (Est. 1969),₹50 - ₹400 / sq.ft (Economy to Premium),"Pioneering Indian ceramic tile conglomerate headquartered in Noida, known for patented slip-shield and VC shield abrasion-resistant tiles, glazed vitrified tiles, and polished porcelain surfaces.","Noida, Greater Noida, Delhi NCR, Lucknow, Chandigarh, Pan-India","Ceramic Wall & Floor Tiles, Glazed Vitrified Tiles, Polished Vitrified Tiles, Duragres, Sintered Stone Slabs","Somany, Max Cover, Duragres, VC Shield, Slip Shield, French Collection"
Orientbell Limited (Orient Bell Tiles - New Delhi),Madhur Daga (Managing Director),customercare@orientbell.com,-47119020,https://www.orientbell.com,49+ Years (Est. 1977),₹40 - ₹250 / sq.ft (Economy to Mid-Premium),"Prominent tile manufacturer with major manufacturing plants in Sikandrabad (UP), producing anti-viral tiles, germ-free surfaces, solar-reflective cool roof tiles, digital ceramic wall tiles, and glazed vitrified slabs.","Delhi NCR, Sikandrabad, Khurja, Lucknow, Kanpur, Chandigarh, North India","Ceramic Wall & Floor Tiles, Glazed Vitrified Tiles, Double Charge Vitrified Tiles, Cool Roof Tiles, Germ-Free Surfaces","Orientbell, Inspire, Forever, Estilo, Cool Tiles"
Prism Johnson Limited (H&R Johnson North),Vijay Aggarwal (Managing Director) / Sudipta Saha (President - Tile Operations),customercare@hrjohnsonindia.com,-41541620,https://www.hrjohnsonindia.com,68+ Years (Est. 1958),₹45 - ₹450 / sq.ft (Economy to Luxury),"Leading diversified building materials provider offering industrial flooring, heavy-duty anti-skid tiles, swimming pool surfaces, polished vitrified slabs, and engineered quartz.","Delhi NCR, Gurgaon, Ghaziabad, Meerut, Ludhiana, Chandigarh, Pan-India","Vitrified Tiles, Ceramic Wall & Floor Tiles, Industrial Tiles, Quartz, Sintered Porcelain Slabs","Johnson Tiles, Johnson Marbonite, Johnson Porselano, Johnson Endura"
Span Floors (Span Floors Pvt. Ltd.),Satinder Chawla (Founder & Managing Director),floors@spanfloors.com,-41007850,https://www.spanfloors.com,20+ Years (Est. 2004),₹350 - ₹1,800 / sq.ft (Premium to Ultra-Luxury),"Bespoke wooden surface and facade specialist located in New Delhi, supplying custom engineered hardwood flooring, exterior wood claddings, thermo-treated outdoor decking, and European parquet planks.","New Delhi, Gurgaon, Noida, Chandigarh, Ludhiana, North India","Engineered Wood Flooring, Solid Hardwood, Outdoor Wooden Decking, Timber Facades, Parquet Floors , Span Floors, Coswick, Hakwood, Boen"
Pergo India Private Limited,Naresh Sharma (National Sales Head),contact@pergo.com,-4001913,https://www.pergo.com,45+ Years (Global Est. 1977 / India Est. 1999),₹120 - ₹650 / sq.ft (Mid-Premium to Luxury),"Global inventor and leader of laminate flooring, delivering TitanX surface scratch protection, click-lock installation systems, water-resistant laminate planks, and high-performance commercial vinyl flooring.","Gurgaon, Delhi NCR, Noida, Faridabad, Chandigarh, Jalandhar, Pan-India","Laminate Flooring, Engineered Wood, Luxury Vinyl Tiles (LVT), Rigid Vinyl, SPC Flooring","Pergo, Unilin, Mohawk Industries"
Greenlam Industries Limited (Greenlam Clads & Floors),Saurabh Mittal (Managing Director & CEO),info@greenlam.com,-42791319,https://www.greenlamindustries.com,30+ Years (Est. 1993),₹70 - ₹900 / sq.ft (Economy to Luxury),"One of the world's top laminate and surface manufacturers, providing decorative laminates, compact cladding panels, exterior facade systems, real wood veneers, and engineered wood flooring.","New Delhi, Gurgaon, Noida, Ghaziabad, Lucknow, Pan-India, Global","High-Pressure Laminates (HPL), Exterior Clads, Compact Panels, Decorative Veneers, Engineered Wood","Greenlam Laminates, Greenlam Clads, Mikasa Floors, Mikasa Doors, Decowood"
Welspun Flooring Limited (Gurgaon Hub),Mukesh Savlani (CEO - Flooring Business),contact_flooring@welspun.com,-4903533,https://www.welspunflooring.com,8+ Years (Flooring Division Est. 2018 / Group 38+ Years),₹90 - ₹550 / sq.ft (Economy to Premium),"Modern architectural flooring innovator manufacturing Stone Polymer Composite (SPC) click-n-lock tiles, commercial carpet tiles, wall claddings, and artificial turf for fast, dust-free renovations.","Gurgaon, Delhi NCR, Noida, Chandigarh, Lucknow, Kanpur, Pan-India","Stone Polymer Composite (SPC) Flooring, Carpet Tiles, Wall Panels, Artificial Grass, Click-N-Lock Tiles","Welspun Flooring, Click-N-Lock, Fusion, Marvel, Ultima"
Square Foot (Classic Floorings & Interiors Delhi),Gaurav Saraf (Joint Managing Director),delhi@squarefoot.co.in,-40525687,https://www.squarefoot.co.in,28+ Years (Est. 1995),₹110 - ₹1,200 / sq.ft (Mid-Range to Ultra-Luxury),"Specialized flooring distribution and contracting house with showrooms across North India, supplying solid wood, engineered wood, laminate, outdoor decking, sports flooring, and luxury vinyl.","New Delhi, Gurgaon, Noida, Ludhiana, Chandigarh, Pan-India","Solid Wood Flooring, Engineered Wood, Laminate Flooring, Outdoor Composite Decking, Vinyl & Linoleum , Square Foot, Boen, BerryAlloc, Desso, Tarkett"
FCML Surfaces Private Limited (FCML India),Abhinav Khandelwal (Managing Director),info@fcmlindia.com,-49372720,https://www.fcmlindia.com,22+ Years (Est. 2003),₹250 - ₹3,500 / sq.ft (Luxury to Bespoke Ultra-Luxury),"High-end luxury surface boutique on MG Road, Sultanpur, Delhi, curating imported Italian large-format porcelain slabs, designer ceramics, glass mosaics, and bespoke architectural finishes.","Sultanpur (Delhi), MG Road (Gurgaon), Noida, Chandigarh, North India","Large Format Porcelain Slabs, Designer Ceramic Tiles, Handcrafted Mosaics, Engineered Wood, Sintered Stone , FCML Surfaces, Mutina, Bisazza, Florim, Gessi, Devon&Devon"
Notion Luxury Flooring (Exotic Decor Pvt. Ltd.),Yeeshu Choudhary (Founder & Director),info@notion.net.in,-4328029,https://www.notion.net.in,24+ Years (Est. 2002),₹180 - ₹1,500 / sq.ft (Mid-Premium to Luxury),"Wooden flooring and exterior cladding concept brand headquartered in Noida, delivering engineered hardwood, outdoor WPC decking, architectural wall louvers, and bespoke parquet flooring.","Noida, Delhi NCR, Gurgaon, Chandigarh, Ludhiana, Lucknow, Pan-India","Engineered Hardwood Flooring, Exterior Wood Cladding, WPC Decking, Herringbone Parquet, Laminate , Notion, Exotic Decor, Thermo-Clad, Notion Exterior"
Action TESA (Balaji Action Buildwell Pvt. Ltd.),Ajay Kumar Aggarwal (Director) / Amit Aggarwal (Director),marketing@actiontesa.com,-41119920,https://www.actiontesa.com,16+ Years (Est. 2010),₹60 - ₹220 / sq.ft (Economy to Mid-Range),"Engineered wood and surface panel manufacturer based in New Delhi, specializing in high-density water-resistant HDHMR boards, embossed HDF laminate flooring, UV coated panels, and acrylic surface boards.","Delhi NCR, Rohtak Road, Ghaziabad, Haryana, Punjab, Uttar Pradesh, Pan-India","HDF Laminated Flooring, HDHMR Boards, Acrylic Gloss Panels, Boilo Waterproof Boards, Pre-laminated Particle Boards","Action TESA, HDHMR, Boilo, TESA Laminated Floors"
Merino Industries Limited (Delhi HQ),Prakash Lohia (Managing Director),merino@merinoindia.com,-45556920,https://www.merinoindia.com,58+ Years (Est. 1968),₹80 - ₹750 / sq.ft (Economy to Luxury),"Global interior surface and cladding manufacturer with manufacturing units in Hapur (UP), specializing in compact laminates, exterior facade cladding systems, solid acrylic surfaces, and postforming laminates.","New Delhi, Hapur, Noida, Ghaziabad, Lucknow, Chandigarh, Pan-India","High Pressure Laminates, Exterior Compact Cladding, Solid Acrylic Surfaces, Pre-laminated Panels, Internal Wall Liners","Merino Laminates, Merinolam, Armour Exterior Wall Clads, Hanex Solid Surfaces, Meister"
Antica Ceramica (Delhi & Gurugram),Rahul Bhutani (Managing Director / Founder),info@anticaceramica.in,-9210206597,https://www.anticaceramica.in,34+ Years (Est. 1992),₹80 - ₹850 / sq.ft (Mid-Range to Luxury),"Designer tile and boutique stone studio in Raja Garden, Delhi, and DLF Phase 2 Gurugram, offering handmade Moroccan tiles, CNC carved stone feature panels, and large-format porcelain slabs.","Raja Garden (Delhi), DLF Phase 2 (Gurugram), Noida, Faridabad, North India","CNC Stone Reliefs, Large Format Porcelain Slabs, Designer Ceramic Tiles, Moroccan Tiles, Subway Wall Tiles","Antica Ceramica, Impasta, Antica Stone Atelier"
Greenpanel Industries Limited (Gurugram HQ),Shobhan Mittal (Managing Director & CEO),info@greenpanel.com,-4784633,https://www.greenpanel.com,16+ Years (Demerged from Greenply 2017 / Legacy 30+ Years),₹65 - ₹250 / sq.ft (Economy to Mid-Range),"India's largest manufacturer of wood panel boards and high-performance HDF wooden laminate flooring systems, headquartered at DLF Downtown, Gurugram.","Gurugram, Delhi NCR, Noida, Faridabad, Chandigarh, Ludhiana, Pan-India","HDF Wooden Laminated Flooring, Club Grade MDF, Pre-laminated Surface Boards, Veneers, Exterior Grade Panels","Greenpanel Flooring, Greenpanel Maxx, Greenpanel Club MDF"
Century Plyboards Limited (CenturyLaminates & Exteria),Sajjan Bhajanka (Chairman & MD) / Keshav Bhajanka (Executive Director),info@centuryply.com,-46548820,https://www.centuryply.com,40+ Years (Est. 1986),₹75 - ₹650 / sq.ft (Economy to Luxury),"Surface and panel manufacturing conglomerate offering decorative laminates, anti-bacterial ViroKill surface claddings, reconstituted wood veneers, and exterior facade louvers.","Delhi NCR, Kirti Nagar (Delhi), Noida, Ghaziabad, Lucknow, Chandigarh, Pan-India","Decorative Laminates, Reconstituted Wood Veneers, Exterior HPL Cladding, PVC / WPC Boards, Compact Laminates","CenturyLaminates, CenturyVeneers, SenzuraStyles, CenturyExteria, Sainik Laminates"
Keramos Tile & Stone Private Limited (Delhi),R. Anand (Director) / G. Ravindran (Director),delhi@keramosindia.com,-46032685,https://www.keramosindia.com,42+ Years (Est. 1984),₹180 - ₹1,600 / sq.ft (Mid-Premium to Bespoke Luxury),"Artisanal, handmade, and heritage surface finishing studio located in Lado Sarai, New Delhi, crafting Moroccan zellige tiles, Lyon seamless cement floors, antique terracotta, and hand-painted ceramic motifs.","Lado Sarai (New Delhi), Gurgaon, Noida, Chandigarh, Lucknow, Jaipur, Pan-India","Handmade Moroccan Tiles, Antique Terracotta, Lyon Seamless Cement Surfaces, Hand-painted Ceramic Murals, Stone Mosaic Tiles , Keramos, Lyon Floors, Azul Series, Keramos Terracotta, Antiqua"
Granitexx Tile & Stone Studio (Noida),Deepak Garg (Managing Director),sales@granitexx.com,-4289019,https://granitexx.com,18+ Years (Est. 2008),₹60 - ₹550 / sq.ft (Mid-Range to Premium),"Noida-based tile distribution studio specializing in glazed porcelain tiles, exterior anti-skid pavers, composite quartz surfaces, and bathroom elevation highlighters.","Noida, Greater Noida, Ghaziabad, Delhi NCR","Glazed Porcelain Tiles, Vitrified Slabs, Engineered Quartz, Anti-Skid Pavers","Granitexx, Kajaria, Somany, Simpolo"
Khurja Pottery & Ceramics Cluster (Oriental Potters),Irfan Ahmed (Managing Partner),orientalpotters.khurja@gmail.com,-250759,https://orientalpotters.in,48+ Years (Est. 1978),₹35 - ₹200 / sq.ft (Economy to Handcrafted Mid-Range),"Traditional ceramic tile and pottery manufacturing firm in Khurja ceramic hub, crafting handcrafted glazed wall tiles, ceramic borders, and exterior terracotta murals.","Khurja, Bulandshahr, Aligarh, Delhi NCR, Uttar Pradesh","Handmade Glazed Ceramic Tiles, Terracotta Wall Clads, Ceramic Border Tiles, Pottery Artifacts","Oriental Khurja, Heritage Craft Tiles"
Marble City India Limited (Delhi),Dr. Gopal Sharan Garg (Managing Director),delhi@marblecity.in,-26805980,https://marblecity.in,27+ Years (Est. 1999),₹300 - ₹3,000 / sq.ft (Premium to Super-Luxury),"Listed Italian marble importing company with sprawling galleries along MG Road, Sultanpur, Delhi, offering premium Italian marble, onyx, travertine, and quartzites.","Delhi NCR, Gurgaon, Noida, Chandigarh, Punjab","Italian Statuario Marble, Travertine, Brazilian Quartzite, Onyx Slabs, Luxury Granite"
Decora Tiles & Sanitary (Lucknow),Praveen Kapoor (Managing Director),decoratiles.lko@gmail.com,-2621564,https://decoratiles.in,31+ Years (Est. 1995),₹45 - ₹480 / sq.ft (Economy to Luxury),"Prominent surface and tile dealer in Hazratganj and Gomti Nagar, Lucknow, supplying large format vitrified tiles, marble slabs, and designer wall cladding.","Lucknow, Kanpur, Ayodhya, Prayagraj, Varanasi, Central UP","Glazed Vitrified Tiles (GVT), Polished Porcelain, Designer Wall Highlighters, Granite Slabs","Kajaria, Somany, Simpolo, Hindware, Cera"
Kanpur Marble & Stone Corporation,Anil Agarwal (Senior Partner),kanpurmarblecorp@gmail.com,-2554843,https://kanpurmarble.com,36+ Years (Est. 1990),₹40 - ₹450 / sq.ft (Economy to Mid-Premium),"Leading stone merchant and tile contractor in Kanpur supplying Makrana marble, Rajasthan granite, vitrified floor tiles, and heavy-duty parking pavers.","Kanpur, Unnao, Fatehpur, Lucknow, Uttar Pradesh","Makrana Marble, Indian Granite, Vitrified Floor Tiles, Concrete Paver Blocks","Orientbell, Somany, In-house Granite & Marble"
Surfaces by Tilez (Chandigarh / Panchkula),Manpreet Singh (Founder & CEO),info@tilezsurfaces.com,-4667869,https://tilezsurfaces.com,19+ Years (Est. 2007),₹70 - ₹750 / sq.ft (Mid-Range to Luxury),"High-end design studio in Tricity (Chandigarh, Panchkula, Mohali) delivering imported porcelain slabs, seamless micro-concrete surfaces, and architectural facade panels.","Chandigarh, Mohali, Panchkula, Ludhiana, Jalandhar, Punjab & Haryana","Sintered Stone Slabs, Micro-concrete Surfaces, Wooden Flooring, Digital Ceramic Cladding","Nexion, Simpolo, Qutone, Quick-Step, In-house Curations"
Ludhiana Tiles & Granite Studio,Harjit Singh Sandhu (Director),info@ludhianatiles.com,-2405636,https://ludhianatiles.com,22+ Years (Est. 2004),₹55 - ₹600 / sq.ft (Economy to Premium),"Sprawling tile and granite hub on Ferozepur Road, Ludhiana, catering to residential villas, kothis, and commercial showrooms across Punjab.","Ludhiana, Jalandhar, Amritsar, Bathinda, Punjab","Vitrified Slabs, South Indian Granite, Designer Bathroom Tiles, Exterior Louvers","Kajaria, Varmora, Somany, Asian Granito, Jaquar"
Jalandhar Ceramics & Sanitary House,Rakesh Mittal (Managing Partner),jalandharceramics@yahoo.com,-2223434,https://jalandharceramics.in,25+ Years (Est. 2001),₹45 - ₹420 / sq.ft (Economy to Premium),"Comprehensive tile and bathroom surface dealer supplying vitrified tiles, rustic floor tiles, wooden finish planks, and sanitary fittings.","Jalandhar, Phagwara, Hoshiarpur, Kapurthala, Punjab","Ceramic Wall Tiles, PGVT Tiles, Rustic Floor Tiles, Anti-skid Flooring","Somany, Orientbell, Johnson, Cera"
Marble Centre International (MCI),Giriraj Ladha (Managing Director),accounts@marblecentre.in,+91 80 4663 3737,https://marblecentre.in/,24+ years (Est. 2000),₹350 - ₹3,500/sq.ft (Luxury to Ultra-Luxury),"Premier importer, processor, and curator of fine Italian marble, exotic Brazilian quartzite, translucent onyx, and semi-precious stone slabs for high-end architectural and luxury residential surfaces.","Bengaluru, Hyderabad, Chennai, South India, Pan-India","Imported Italian Marble, Onyx, Travertine, Exotic Quartzite, Semi-Precious Slabs, Bookmatched Marble"
Regency Ceramics Limited,Narala Satyendra Prasad (Managing Director),rclcosec@gmail.com,+91 40 2331 9902,https://www.regencyceramics.in/,41+ years (Est. 1983),₹45 - ₹350/sq.ft (Economy to Premium),"Pioneering ceramic tile manufacturer in South India providing glazed floor and wall tiles, high-traffic vitrified slabs, and industrial anti-skid ceramic solutions for large-scale infrastructure.","Hyderabad, Chennai, Bengaluru, Vijayawada, Visakhapatnam, South India","Glazed Vitrified Tiles (GVT), Polished Vitrified Tiles (PVT), Ceramic Wall & Floor Tiles, Heavy-Duty Industrial Tiles","Regency Ceramics, Regency Signature, Duratile"
Stonera Systems Private Limited,Girish B. (Director & Regional Head),contact@stonera.com,+91 80 4266 6222,https://stonera.com/,18+ years (Est. 2006),₹120 - ₹850/sq.ft (Mid to High-End Surface Solutions),"Specialized surface finishing engineering company supplying Italian stone care chemicals, precision diamond abrasives, microtopping compounds, and mechanical dry-cladding facade systems.","Bengaluru, Mysuru, Hyderabad, Chennai, South India","Surface Treatment Polymers, Microtopping Compounds, Acoustic Substrates, Stone Sealants, Quartz Abrasives, Marble Care Systems","Stonera Systems, Bellinzoni, Tenax, Klindex, Alpha Tools"
Restile Ceramics Limited,Ramachandran N.S. (Director),info@restile.com,+91 6354 603 330,https://restile.com/,38+ years (Est. 1986),₹80 - ₹450/sq.ft (Mid to Premium),"India's original creator of full-body vitrified porcelain tiles, engineering unglazed and textured technical tiles for heavy-traffic commercial airports, metro hubs, and corporate spaces.","Hyderabad, Bengaluru, Chennai, Kochi, South & Pan-India","Full Body Vitrified Tiles, Unglazed Porcelain Slabs, Industrial Floor Tiles, Cladding Porcelain Slabs","Restile Gripmax, Restile Accustone, Restile Marbo Granit"
Pokarna Limited (Quantra Quartz),Gautam Chand Jain (Chairman & Managing Director),contact@pokarna.com,+91 40 6631 0111,https://www.pokarna.com/,33+ years (Est. 1991),₹250 - ₹1,800/sq.ft (Premium to Luxury),"Leading manufacturer and global exporter of Bretonstone-engineered quartz slabs and precision-quarried natural granite for kitchen worktops, vanity counters, and seamless wall paneling.","Hyderabad, Bengaluru, Chennai, Visakhapatnam, South India, Pan-India","Engineered Quartz Surfaces, Natural Granite Slabs, Architectural Stone Countertops, Wall Cladding"
Katta Ceramics (Bengaluru),Badrinath K.S. (Managing Partner / Director),info@kattaceramics.com,+91 80 2676 3004,https://kattaceramics.com/,40+ years (Est. 1984),₹65 - ₹750/sq.ft (Economy to Luxury),"Bangalore's prominent multi-brand ceramic, large-format vitrified tile, and luxury surface studio catering to high-profile architects, interior designers, and commercial builders.","Bengaluru, Mysuru, Tumakuru, Karnataka","Large Format Vitrified Slabs, Glazed Porcelain Tiles, Designer Ceramic Wall Tiles, Terrazzo Slabs, Mosaics","Somany, Kajaria, Simpolo, Nexion, Qutone, Jaquar"
Bell Granito Ceramica Limited,Rakesh Madanlal Bhatia (Director),bgcl@accountscare.com,+91 6354 603 330,https://restile.com/,31+ years (Est. 1993),₹75 - ₹480/sq.ft (Mid to Premium),"Manufacturer and technical distributor of high-gloss polished homogeneous vitrified porcelain tiles, mirror-stone finishes, and exterior ventilated facade cladding slabs.","Hyderabad, Bengaluru, Chennai, Vijayawada, Kolkata, Bhubaneswar, South & East India","Homogeneous Polished Porcelain Slabs, Marbo Granit Tiles, Mirrorstone Tiles, Matt Finish Exterior Cladding","Bell Granito, Marbo Granit, Mirrorstone"
Marbilo Surfaces Private Limited,Rajesh Maheshwari (Founder & Director),info@marbilosurfaces.com,+91 80 4125 8899,https://marbilo.in/,16+ years (Est. 2008),₹280 - ₹1,900/sq.ft (Premium to Luxury),"Boutique surface atelier in Bengaluru specializing in ultra-compact sintered stone slabs, exotic imported marble, custom bookmatched terrazzo, and seamless countertop fabrication.","Bengaluru, Chennai, Hyderabad, South India","Sintered Porcelain Slabs, Imported Onyx, Italian Marble, Terrazzo Tiles, Micro-cement Floorings"
Ceratec Surfaces South (Bengaluru & Chennai),Rahul Shukla (Regional Business Head),Ceratectiles123@gmail.com,+91 90990 48270,https://ceratectiles.com/,14+ years (Est. 2010),₹55 - ₹420/sq.ft (Economy to Premium),"Distributor and contracting partner for polished glazed vitrified tiles, wooden plank ceramics, exterior wall claddings, and acoustic surface backing systems across Southern India.","Bengaluru, Chennai, Hyderabad, Coimbatore, South India","PGVT Slabs, High Gloss Porcelain Tiles, Wood Plank Ceramic Tiles, Subway & Mosaic Wall Tiles","Ceratec, RAK Ceramics, Varmora, Simpolo"
Casa Mia Surfaces Studio (Hyderabad),Sanjay Jain (Managing Director),contact@casamiasurfaces.com,+91 40 2355 4488,https://casamiasurfaces.com/,15+ years (Est. 2009),₹300 - ₹2,200/sq.ft (Premium to Ultra-Luxury),"Architectural surfaces and facade studio representing top European tile ateliers, providing ultra-slim porcelain cladding, customized glass mosaics, and micro-topping systems.","Hyderabad, Bengaluru, Chennai, Vijayawada, South India","Ultra-Slim Porcelain Slabs (3mm-6mm), Italian Vitrified Tiles, Microtopping, Glass Mosaics, Concrete Wall Panels"
Studio One Ceramics (Bengaluru),Pradeep Kumar (Founder & Director),info@studiooneceramics.in,+91 80 4166 9911,https://studiooneceramics.in/,12+ years (Est. 2012),₹90 - ₹950/sq.ft (Mid to Luxury),"Design-focused ceramic tile studio delivering bespoke large-format sintered slabs, handmade Moroccan zellige wall tiles, textured terrazzo, and seamless acoustic surface integration.","Bengaluru, Mysuru, Mangalore, South India","Large Format Sintered Slabs, Handmade Ceramic Subway Tiles, Monolithic Terrazzo, Textured Wall Claddings","Studio One Elite, Nexion, Simpolo, Mirage Italy, Bisazza"
Ayyappa Marbles & Granites (Chennai),K. Venkatesh (Managing Partner),ayyappamarbleschennai@gmail.com,+91 44 2496 1122,https://ayyappamarbles.com/,28+ years (Est. 1996),₹60 - ₹650/sq.ft (Economy to Premium),"Landmark natural stone and tile supplier in Chennai offering South Indian granites, Indian and imported marbles, vitrified flooring tiles, and exterior landscape stone pavers.","Chennai, Kanchipuram, Chengalpattu, Vellore, Tamil Nadu","South Indian Polished Granites, Indian Green & White Marble, Vitrified Floor Slabs, Flamed Granite Pavers","Kajaria, Somany, Asian Granito (AGL), Classic Stones"
Rathnaa Ceramics (Coimbatore),R. Rathnavel (Director & Founder),info@rathnaceramics.com,+91 422 254 8877,https://rathnaceramics.com/,26+ years (Est. 1998),₹50 - ₹550/sq.ft (Economy to Premium),"Major wholesale and retail tile contractor supplying glazed vitrified tiles, ceramic wall highlighters, polished granites, and elevation cladding for residential and industrial projects.","Coimbatore, Tirupur, Erode, Salem, Chennai, Tamil Nadu","Glazed Vitrified Tiles, Ceramic Wall Highlighters, Black Galaxy & Tan Brown Granites, Anti-Skid Parking Tiles","Kajaria, Somany, Nitco, Varmora, Jaquar"
Royal Ceramics & Marble Gallery (Coimbatore),M. Shanmugam (Managing Director),contact@royalceramicscbe.com,+91 422 438 7766,https://royalceramics.in/,21+ years (Est. 2003),₹65 - ₹680/sq.ft (Mid to High-End),"Comprehensive tile and natural stone gallery offering premium imported and indigenous floor tiles, stone wall veneers, quartz slabs, and turnkey surface laying services.","Coimbatore, Madurai, Dindigul, Pollachi, Tamil Nadu","Full Body Vitrified Tiles, Double Charge Slabs, Polished Marble, Quartz Countertops, Wooden Finish Planks","Simpolo, Qutone, RAK Ceramics, Johnson, Asian Granito"
Appasamy & Sons Tile & Bath Studio (Madurai),A. Appasamy (Founder & Senior Partner),info@appasamytiles.com,+91 452 233 4455,https://appasamytiles.com/,32+ years (Est. 1992),₹45 - ₹480/sq.ft (Economy to Mid-High),"Prominent surface dealer in Southern Tamil Nadu supplying high-grade ceramic wall tiles, heavy-duty floor tiles, exterior elevation claddings, and natural stone products.","Madurai, Sivakasi, Virudhunagar, Theni, Tirunelveli, Tamil Nadu","Ceramic Wall Tiles, Digital Floor Tiles, Rustic Matt Slabs, Chettinad Pattern Tiles, South Granite Slabs","Kajaria, Somany, Orientbell, Cera, Johnson"
Keramica Studio (TC Buildware LLP - Calicut),T.C. Mohammed Basheer (Managing Partner),info@keramicatiles.com,+91 495 243 1155,https://keramicatiles.com/,16+ years (Est. 2008),₹75 - ₹850/sq.ft (Mid to Luxury),"Kerala-based architectural surface design boutique curating large-format porcelain slabs, Scandinavian wood-look vitrified planks, rustic terrazzo, and acoustic wall panels.","Calicut, Kochi, Kannur, Malappuram, Thrissur, Kerala","Big Slabs (1200x2400mm), Matt Finish Porcelain, Wood Planks, Moroccan Accent Tiles, Micro-stone Finishes","Keramica Digital, Nexion, Simpolo, Qutone, Grespania"
Classic Sanitary & Ceramics (Kochi),K.J. George (Managing Director),info@classictileskochi.com,+91 484 280 5544,https://classictileskochi.com/,27+ years (Est. 1997),₹60 - ₹720/sq.ft (Mid to Premium),"Established surface showroom in Kochi specializing in architectural vitrified floorings, waterproof bathroom tiles, natural sandstone wall cladding, and exterior facade solutions.","Kochi, Ernakulam, Aluva, Thrissur, Kottayam, Kerala","Polished Glazed Vitrified Tiles (PGVT), Sandstone & Slate Cladding, Subway Wall Tiles, Quartz Stone Slabs","Kajaria Galaxy, Somany, Cera, Simpolo, RAK Ceramics"
George Kaitharan Buildware Private Limited (Kerala),George Kaitharan (Chairman & Managing Director),info@georgekaitharan.com,+91 484 259 8800,https://georgekaitharan.com/,35+ years (Est. 1989),₹50 - ₹1,100/sq.ft (Economy to Luxury),Large-scale tile and surface distribution house operating exclusive Kajaria Galaxy and international tile experience galleries across Central Kerala.,"Kochi, Ernakulam, Thrissur, Idukki, Kottayam, Kerala","Large Porcelain Slabs, Vitrified Tiles, Natural Granite, Imported Marble, Decorative Wall Cladding"
Siddhartha Tiles & Sanitary Private Limited (Vijayawada),K. Siddhartha Rao (Managing Director),info@siddharthatiles.com,+91 866 248 1199,https://siddharthatiles.com/,24+ years (Est. 2000),₹50 - ₹650/sq.ft (Economy to High-End),"Premier surface studio in Vijayawada delivering integrated floor and wall cladding packages, digital glazed vitrified tiles, and polished stone finishes for residential and commercial spaces.","Vijayawada, Guntur, Amaravati, Eluru, Andhra Pradesh","Double Charge Vitrified Tiles, PGVT High Gloss Slabs, Ceramic Wall Tiles, Exterior Elevation Pavers","Kajaria Eternity, Somany, Simpolo, Hindware, Johnson"
