Business Name,Contact Person,Email,Phone,Website,Years of Experience,Pricing Range,Business Description,Service Areas,Materials,Delivery Capability,,,
Tata Steel Limited (Tata Tiscon),T. V. Narendran (CEO & Managing Director) / Corporate Sales Desk,aashiyana.support@tatasteel.com,1800-108-8282,https://www.tatasteel.com,119+ Years (Est. 1907),₹54,000 - ₹66,000 per Metric Tonne,"Tata Steel is India's pioneer integrated steel manufacturer operating primary blast furnaces at Jamshedpur and Kalinganagar. Its flagship retail brand Tata Tiscon produces premium Fe 500D and Fe 550D Superlinks rebars using virgin iron ore and automated thermo-mechanical treatment. The company also manufactures heavy structural sections, hollow tubes, and specialized heavy construction plates.",Pan-India (All 28 States and 8 Union Territories),"Fe 500D, Fe 550D TMT Rebars, Tiscon Superlinks, Structura Hollow Sections, Heavy Plates, Wire Rods, Angles, Channels","Dedicated trailer trucks, rake-based bulk rail transport from Jamshedpur/Kalinganagar plants, direct factory-to-site dispatch, and an extensive nationwide network of authorized distributors and stockyards.",
JSW Steel Limited (JSW Neosteel),Jayant Acharya (Joint MD & CEO) / Corporate Sales Desk,jswsteel.connect@jsw.in,1800-225-225,https://www.jswsteel.in,44+ Years (Est. 1982),₹52,000 - ₹64,000 per Metric Tonne,"JSW Steel is India's leading private integrated steelmaker with major production hubs in Vijayanagar, Dolvi, and Salem. Under its JSW Neosteel brand, it manufactures high-purity virgin-steel Fe 500D and Fe 550D TMT rebars using HYQST technology for high seismic resilience. The company also engineers broad-flange structural beams, angles, channels, wire rods, and coated steel products.","Pan-India (North, South, East, West, and Central India)","Fe 500D, Fe 550D, Fe 600 TMT Rebars, Structural Beams, Channels, Equal/Unequal Angles, Wire Rods, Hollow Sections, HR/CR Heavy Plates","Multi-axle trailer fleets, containerized rail freight corridors, direct mill-to-project dispatch, backed by regional consignment stockyards across tier-1 and tier-2 cities.",
Steel Authority of India Limited (SAIL),Amarendu Prakash (Chairman) / Central Marketing Organisation (CMO),rmer.cmo@sail.in,1800-345-3450,https://www.sail.co.in,53+ Years (Est. 1973 / 1954),₹51,000 - ₹63,000 per Metric Tonne,"SAIL is a Maharatna Public Sector Enterprise operating five integrated steel plants across Bhilai, Bokaro, Rourkela, Durgapur, and Burnpur. The company is a key producer of heavy structural joists, wide-flange beams, rails, and earthquake-resistant SAIL TMT rebars. Its Central Marketing Organisation manages the country's widest steel supply chain supporting national infrastructure, bridges, and defense projects.","Pan-India coverage across all states, union territories, and remote infrastructure corridors","Fe 500D, Fe 550D TMT Rebars, Heavy Joists, Wide Flange Beams, Channels, Equal Angles, Crane Rails, Heavy Steel Plates, Wire Rods","Bulk railway rake loading from integrated steel plants, heavy trailer road logistics, dedicated departmental stockyards, and direct consignment delivery to major government and private infrastructure sites.",
Jindal Steel & Power Limited (JSPL),Bimlendra Jha (Managing Director) / Corporate Sales Desk,jsplinfo@jindalsteel.com,+91-11-41462000,https://www.jindalsteelpower.com,47+ Years (Est. 1979),₹53,000 - ₹65,000 per Metric Tonne,"Jindal Steel & Power Limited is an integrated industrial conglomerate with large-scale steel plants located in Raigarh, Angul, and Patratu. JSPL is India's pioneer in producing large parallel-flange structural beams, columns, and 121-meter head-hardened railway tracks. The company manufactures Jindal Panther Fe 550D TMT rebars and heavy plates tailored for bridges, sky-rises, and industrial fabrication.",Pan-India and global export markets,"Jindal Panther Fe 500D & Fe 550D TMT Rebars, Parallel Flange Beams, Columns, Heavy Structural Sections, Fabricated Girders, Heavy Plates, Wire Rods","Dedicated private rail sidings at Angul and Raigarh plants, hydraulic multi-axle trailer transport for oversize structures, direct site delivery, and centralized regional service centers.",
Shyam Metalics and Energy Limited (SEL Tiger),Brij Bhushan Agarwal (Vice Chairman & MD) / Sales Team,contact@shyamgroup.com,+91-33-40164001,https://www.shyammetalics.com,24+ Years (Est. 2002),₹49,000 - ₹59,000 per Metric Tonne,"Shyam Metalics is an integrated metal and energy conglomerate with major production facilities situated in Sambalpur (Odisha) and Jamuria (West Bengal). Under its signature 'SEL Tiger' brand, the company produces micro-alloyed Fe 550D TMT rebars with superior corrosion and seismic resistance. The company also produces a full spectrum of structural angles, channels, beams, and wire rods.","Eastern, Northern, Western, and Central India","SEL Tiger Fe 500D & Fe 550D TMT Rebars, Structural Angles, Channels, Beams, Wire Rods, Billets, Sponge Iron, Color Coated Sheets","Direct mill-to-site trailer trucks, railway rake loading via in-house siding, and an established multi-state network of over 1,000 dealers and stockyards.",
Jindal Stainless Limited (JSL),Abhyuday Jindal (Managing Director) / Sales Division,info@jindalstainless.com,+91-11-26188345,https://www.jindalstainless.com,56+ Years (Est. 1970),"₹1,65,000 - ₹2,35,000 per Metric Tonne (Stainless Steel Rebar & Structural Grades)","Jindal Stainless Limited is India's largest stainless steel manufacturer with major integrated plants in Jajpur (Odisha) and Hisar (Haryana). JSL produces high-performance stainless steel structural sections, heavy plates, and stainless steel TMT rebars (SS Rebar). Its materials provide unmatched lifecycle durability and corrosion immunity for coastal infrastructure, bridges, marine facilities, and chemical plants.",Pan-India across all major infrastructure corridors and international export markets,"Stainless Steel TMT Rebars (Grade 304, 316, Duplex 2205), Stainless Steel Structural Angles, Channels, Beams, Hollow Sections, Heavy Plates, Coils","Containerized multimodal freight, specialized covered trailer trucks, bonded warehouse hubs, direct site dispatch, and international port logistics.",,,
Kamdhenu Limited,Satish Kumar Agarwal (Chairman & MD) / Sales & Marketing Team,cs@kamdhenulimited.com,1800-309-4001,https://www.kamdhenulimited.com,32+ Years (Est. 1994),₹48,000 - ₹58,000 per Metric Tonne,"Kamdhenu Limited is a nationwide construction steel brand operating a large franchisee manufacturing and distribution network alongside company-owned facilities. The company manufactures premium Kamdhenu Nxt and Kamdhenu PAS 10000 TMT rebars engineered with high-grip double-rib profiles for superior concrete bonding. Its product catalog also encompasses structural beams, channels, angles, and color-coated profile sheets.","Pan-India with over 11,500 dealers and 80+ franchisee manufacturing units across every state","Kamdhenu Nxt Fe 500D / Fe 550D TMT Bars, Structural Joists, MS Channels, Angles, Flats, Wire Rods, Hollow Pipes, Color Coated Profile Sheets","Localized point-to-point truck transport from regional franchisee rolling mills, fast urban deliveries, stockist depot dispatches, and factory direct container loads.",
ESL Steel Limited (Vedanta Group),Ravish Sharma (CEO & Whole-Time Director) / Sales Desk,contact.esl@vedanta.co.in,+91-33-44086666,https://www.eslsteel.com,20+ Years (Est. 2006),₹49,000 - ₹60,000 per Metric Tonne,"ESL Steel Limited, a Vedanta Group company, operates a 2.51 MTPA integrated greenfield steel facility in Bokaro, Jharkhand. ESL produces high-ductility V-Xtech and V-Dura Fe 500D and Fe 550D TMT rebars, wire rods, and ductile iron pipes. Its high-grade steel is used extensively in high-speed rail corridors, highway overpasses, bridges, and commercial infrastructure.","Eastern, Northern, Central, and Western India","V-Xtech & V-Dura Fe 500D, Fe 550D TMT Rebars, Wire Rods, Billets, Pig Iron, Ductile Iron Pipes, Structural Rounds","Dedicated in-plant railway siding for bulk rake movement, commercial multi-axle trailer dispatch, regional hub warehouses, and direct project site delivery.",
Gallantt Ispat Limited (Gallantt Group),C. P. Agarwal (Chairman & MD) / Institutional Sales Desk,gil@gallantt.com,+91-9559767333,https://gallantt.com,42+ Years (Est. 1984 / 2005),₹48,000 - ₹58,000 per Metric Tonne,"Gallantt Ispat Limited operates integrated steel manufacturing complexes located in Gorakhpur (Uttar Pradesh) and Samakhiyali, Kutch (Gujarat). Producing under the 'Gallantt Advance' brand, it manufactures Fe 500D and Fe 550D TMT rebars utilizing virgin iron ore and captive sponge iron. The group also produces high-tensile structural billets, mild steel rounds, and wire rods.","Northern, Western, Central, and Eastern India (UP, Bihar, Gujarat, MP, Rajasthan, Haryana, Delhi-NCR)","Gallantt Advance Fe 500D & Fe 550D TMT Rebars, MS Billets, Structural Rounds, Wire Rods, Sponge Iron","Strategic dual-plant logistics (Western & Northern corridors), dedicated transport fleets, rail siding distribution, and a 1,500+ dealer retail distribution network.",
Rathi Bars Limited (Rathi Group),Anurag Rathi (Managing Director) / Sales Directorate,rathibars@hotmail.com,+91-11-42760373,https://rathisteels.com,84+ Years (Rathi Group Est. 1942 / Incorporated 1993),₹47,000 - ₹57,000 per Metric Tonne,"Rathi Bars Limited, part of the pioneer Rathi Group, operates automated continuous rolling mills in Khushkhera and Bhiwadi (Rajasthan NCR). The company manufactures Rathi Thermex and Rathi Shaktiman Fe 500D/550D TMT rebars using German quenching technology for high bendability and seismic safety. It also rolls structural sections including mild steel angles, channels, and flats.","Northern and Central India (Delhi-NCR, Haryana, Uttar Pradesh, Rajasthan, Punjab, Uttarakhand, Madhya Pradesh)","Rathi Fe 500D & Fe 550D TMT Rebars, Earthquake Resistant Rebars, MS Channels, Equal Angles, MS Flats, Structural Rounds","Direct fleet dispatch across Delhi-NCR and the Northern Belt, express 24-48 hour site deliveries, factory gate pickup, and authorized stockist hubs.",
Beekay Steel Industries Limited,Mukesh Chand Bansal (Managing Director) / Sales Department,sales@beekaysteel.com,+91-33-40604444,https://www.beekaysteel.com,66+ Years (Est. 1960),₹52,000 - ₹66,000 per Metric Tonne,"Beekay Steel Industries Limited is a premier structural and engineering steel producer with manufacturing plants across Visakhapatnam, Jamshedpur, Chennai, and Kolkata. The company produces heavy structural sections (beams, joists, angles, channels), crane rails, high-strength TMT rebars, bright bars, and specialized auto-grade sections. Beekay also serves as an authorized conversion agent for leading primary mills including SAIL and RINL.","Pan-India (Southern, Eastern, Western, and Northern industrial zones)","Heavy Structural Beams, Joists, Heavy Channels, Angles, Crane Rails, Fe 500D/550D TMT Rebars, Bright Steel Bars, Special Alloy Steel Profiles","Multi-plant dispatch hubs near major seaports and industrial centers (Vizag, Jamshedpur, Chennai), company-owned stockyards in Kolkata, Pune, Coimbatore, Bengaluru, and trailer logistics.",
Sarda Energy & Minerals Limited (SEML),Kamal Kishore Sarda (Chairman & MD) / Marketing Team,cs@seml.co.in,+91-771-2216100,https://www.seml.co.in,53+ Years (Est. 1973),₹48,000 - ₹58,000 per Metric Tonne,"Sarda Energy & Minerals Limited operates an integrated steel complex in Siltara Industrial Area, Raipur, Chhattisgarh. Powered by captive green and thermal power, SEML manufactures high-grade Fe 500D and Fe 550D TMT rebars, wire rods, billets, and sponge iron. Its rebars and wire products serve commercial real estate, road infrastructure, and specialized engineering applications.","Central, Western, Northern, and Southern India","Fe 500D, Fe 550D TMT Rebars, High-Carbon & Low-Carbon Wire Rods, Steel Billets, Structural Rounds, HB Wires, Ferro Alloys","In-plant private railway loading, fleet of heavy container trailers, direct factory-to-project dispatch, and regional consignment hubs.",
Prakash Industries Limited,Vikram Agarwal (Managing Director) / Sales Division,pilho@prakash.com,+91-11-25848512,https://www.prakash.com,46+ Years (Est. 1980),₹49,000 - ₹59,000 per Metric Tonne,"Prakash Industries Limited operates an integrated steel manufacturing plant at Champa in Chhattisgarh supported by captive power and iron ore mining. The company manufactures premium 'Surya' brand Fe 500D and Fe 550D TMT rebars, heavy structural steel sections (beams, angles, channels), and wire rods. Its structural products cater to Indian Railways, power transmission projects, and industrial building fabrications.","Pan-India (Particularly Northern, Central, and Western regions)","Surya Fe 500D & Fe 550D TMT Rebars, Heavy Structural Beams, Angles, Channels, Wire Rods, Blooms, Billets","Broad railway rake shipment capability from Champa works, multi-axle road trailers, direct project deliveries, and dedicated regional depots.",
Godawari Power & Ispat Limited (Hira Group),Bajrang Lal Agrawal (Managing Director) / Sales Head,contact@gpil.in,+91-771-4082205,https://www.godawaripowerispat.com,27+ Years (Est. 1999),₹49,000 - ₹59,000 per Metric Tonne,"Godawari Power & Ispat Limited is an end-to-end integrated steelmaker based in Raipur, Chhattisgarh, and the flagship company of the Hira Group. GPIL produces high-strength Fe 500D and Fe 550D TMT rebars, high-carbon wire rods, steel billets, and iron ore pellets. Its fully integrated production setup guarantees strict metallurgical control for major civil infrastructure and construction works.","Central, Western, Northern, and Southern India","Fe 500D, Fe 550D TMT Rebars, High-Quality Wire Rods, Steel Billets, HB Wires, Binding Wires, Sponge Iron, Iron Ore Pellets","Heavy-capacity trailer transport, bulk railway rakes from Raipur hub, direct site deliveries to major infrastructure contractors, and regional stockyard network.",
Sunflag Iron and Steel Company Limited,S. K. Chanda (HOD Marketing) / S. Sanjeev (North Zone Sales),admin@sunflagsteel.com,+91-712-2524661,https://sunflagsteel.com,42+ Years (Est. 1984),₹53,000 - ₹68,000 per Metric Tonne,"Sunflag Iron and Steel Company Limited operates an advanced special and alloy steel integrated complex in Bhandara, Maharashtra. The company specializes in manufacturing high-integrity structural steel, alloy steel rounds, heavy flats, spring steel, and high-tensile TMT rebars. Sunflag serves critical engineering sectors including power infrastructure, heavy fabrication, railways, and automotive manufacturing.","Pan-India with zonal offices across Mumbai, Delhi/Faridabad, Chennai, Pune, and Nagpur","High-Strength TMT Rebars, Special Structural Rolled Rounds, Hexagons, Flat Sections, Billets, Bloom, Heavy Alloy Bars, Wire Rods","Dedicated road transportation network, rail container linkages from Bhandara works, regional warehousing hubs in Pune, Thane, Faridabad, and Chennai.",
Kirloskar Ferrous Industries Limited (KFIL),R. V. Gumaste (Managing Director) / Commercial Sales Team,kfilinvestor@kirloskar.com,+91-20-25810341,https://www.kirloskarferrous.com,35+ Years (Est. 1991),"₹50,000 - ₹62,000 per Metric Tonne (Pig Iron, Billets & Special Ferrous Profiles)","Kirloskar Ferrous Industries Limited, part of the Kirloskar Group, operates blast furnaces and foundry units in Koppal and Hiriyur (Karnataka) and Solapur (Maharashtra). KFIL is India's largest producer of quality foundry-grade pig iron, steel billets, and high-precision casting components. Its products serve heavy machinery fabrication, automotive components, and structural engineering projects.","Southern, Western, Northern, and Central India","Foundry Pig Iron, Basic Pig Iron, S.G. Iron Billets, Steel Billets, Ferrous Structural Castings, Special Round Bars","Direct road fleet dispatch via heavy trucks and trailers, dedicated railway siding connections at Koppal plant, and branch distribution offices across major states.",,,
Mahamaya Steel Industries Limited (MSIL),Rajesh Agrawal (Managing Director) / Sales & Marketing Desk,sales@mahamayagroup.in,+91-771-4910058,https://mahamayagroup.in,38+ Years (Est. 1988),₹49,000 - ₹59,000 per Metric Tonne,"Mahamaya Steel Industries Limited is a specialized structural steel manufacturer headquartered in Raipur, Chhattisgarh. Approved by SAIL, BHEL, NTPC, and RDSO (Indian Railways), MSIL rolls medium and heavy structural joists (beams), channels, equal angles, railway crossing sleeper bars, and blooms. The company's automated mills supply mission-critical steel for industrial PEB buildings, transmission towers, and bridge spans.","Pan-India (Central, Western, Northern, and Southern states)","Structural Heavy Joists/Beams (ISMB), Heavy Channels (ISMC), Equal/Unequal Angles (ISA), Crossing Sleeper Bars, Flats, Blooms, Billets, Round Bars","Direct mill dispatch from Sarora / Urla Industrial Complex (Raipur), multi-axle trailer logistics, dedicated railway freight linkages, and regional stockist depots.",
Jai Balaji Industries Limited,Aditya Jajodia (Chairman & MD) / Subhankar Chandra (Sales Head),sales@jaibalajigroup.com,+91-33-22489808,https://jaibalajigroup.com,27+ Years (Est. 1999),₹48,000 - ₹58,000 per Metric Tonne,"Jai Balaji Industries Limited is a prominent integrated steelmaker headquartered in Kolkata with modern manufacturing units in Durgapur and Raniganj (West Bengal) and Durg (Chhattisgarh). The company produces high-grade 'Balaji' Fe 500D & Fe 550D TMT rebars, structural sections, pig iron, and ductile iron pipes. Its rebars are engineered for high yield strength and seismic safety in metro projects and urban infrastructure.","Eastern, Northern, Central, and North-Eastern India","Balaji Fe 500D & Fe 550D TMT Rebars, Structural Angles, Channels, Joists, Heavy Billets, Wire Rods, Ductile Iron Pipes, Pig Iron","Integrated railway sidings at Durgapur plants, fleets of company and third-party transport trailers, direct site deliveries, and an extensive Eastern/Northern dealer network.",
Rashmi Metaliks Limited (Rashmi Group),Sanjib Patwari (Executive Director) / Corporate Sales Desk,mis.sales@rashmigroup.com,+91-33-22690730,https://www.rashmimetaliks.com,35+ Years (Rashmi Group Est. 1991 / Incorporated 2004),₹48,000 - ₹58,000 per Metric Tonne,"Rashmi Metaliks Limited, the flagship steel arm of Rashmi Group, operates massive integrated production complexes at Kharagpur and Jamuria in West Bengal. The company manufactures premium Fe 500D, Fe 550D, and Fe 600 TMT rebars, ductile iron pipes, and wire rods. Its certified rebars are widely used in NHAI highways, bridges, hydro-electric structures, and commercial high-rises.",Pan-India and global export operations across 30+ countries,"Rashmi Fe 500D, Fe 550D & Fe 600 TMT Rebars, Low-Relaxation Wire Rods, Structural Billets, Ductile Iron Pipes, Sponge Iron, Sinter","Massive in-house railway logistics handling multiple rakes daily, heavy multi-axle trailer fleets, port-side container logistics for exports, and 2,000+ dealer network.",
MSP Steel & Power Limited,Saket Agrawal (Managing Director) / Sales Desk,contactus@mspsteel.com,+91-33-40057777,https://www.mspsteel.com,58+ Years (MSP Group Est. 1968 / Incorporated 2003),₹48,000 - ₹58,000 per Metric Tonne,"MSP Steel & Power Limited operates a large integrated steel manufacturing plant in Manuapali, Raigarh, Chhattisgarh. The company manufactures high-tensile MSP Gold Fe 500D and Fe 550D TMT rebars with advanced thermo-mechanical quenching. Its production lines also fabricate structural beams, channels, angles, structural steel pipes, and wire rods for construction and industrial infrastructure.","Central, Eastern, Northern, and Western India","MSP Gold Fe 500D & Fe 550D TMT Rebars, Structural Beams, Channels, Equal Angles, Hollow Structural Sections (SHS/RHS pipes), Wire Rods, Billets","Dedicated in-plant railway siding at Raigarh works, extensive multi-axle trailer logistics for project dispatches, central stockyards, and a vast distributor footprint across tier-1 and tier-2 markets.",
SRMB Srijan Private Limited,Ashish Beriwala (Director) / Sales Team,taxation@srmbsteel.com,1800-200-2244,https://www.srmbsteel.com,75+ Years (Est. 1951),₹49,000 - ₹60,000 per Metric Tonne,"SRMB Srijan Private Limited is a leading steel manufacturing company and technology pioneer headquartered in Kolkata with integrated rolling facilities in Durgapur, West Bengal. SRMB manufactures high-ductility SRMB 500D & 550D Wingrip TMT rebars, corrosion-resistant bars (CRS), and pre-fabricated 'RealRing' stirrups. Its products are widely recommended for seismic zone IV & V structures and bridge construction.","Eastern, North-Eastern, and Northern India","SRMB 500D & 550D Wingrip TMT Rebars, Corrosion Resistant (CRS) Rebars, RealRing Ready-Made Stirrups, Structural Angles, Channels, Wire Rods","Factory-to-site trailer fleets, specialized regional stockyards, rapid urban delivery services, and a retail network of over 1,200 distributors and dealers.",
Captain Steel India Limited,Avinash Agarwalla (Director) / Sales Coordination Cell,reachus@captainsteel.com,+91-8420068888,https://www.captainsteel.com,19+ Years (Est. 2007),₹48,000 - ₹58,000 per Metric Tonne,"Captain Steel India Limited operates advanced automated steel rolling facilities in Kalyani (West Bengal) and Bihta (Bihar). The company manufactures Thermex-treated Captain 600 EQR and Captain RustGuard TMT rebars designed for superior tensile strength, bendability, and corrosion resistance. Its construction steels are widely deployed in regional infrastructure, residential towers, and institutional projects.","Eastern and Northern India (West Bengal, Bihar, Jharkhand, Uttar Pradesh, Assam, Odisha, North-East)","Captain 600 EQR TMT Rebars, Captain RustGuard Corrosion Resistant Rebars, Fe 500D/550D TMT Saria, MS Billets, Structural Rounds","Automated loading docks with high-capacity trailer fleets, localized express distribution to project sites, factory dispatch, and over 1,500 retail touchpoints.",
Prime Gold International Limited (Primegold Group),Pradeep Aggarwal (Chairman) / Achin Aggarwal (Director) / Sales Desk,sales@primegoldgroup.com,1800-1212-365,https://www.primegoldgroup.com,42+ Years (Est. 1984),₹48,000 - ₹58,000 per Metric Tonne,"Prime Gold International Limited operates integrated and collaborative steel manufacturing plants across India, including a joint venture with SAIL. The company produces high-strength Primegold Fe 500D and Fe 550D TMT rebars, pre-engineered structural steel profiles, stainless steel pipes, and wire mesh. Its high-ductility TMT rebars comply with strict seismic safety norms for multi-story residential and infrastructure developments.","Pan-India (Northern, Western, Southern, and Central India)","Primegold Fe 500D & Fe 550D TMT Rebars, Structural Beams, Channels, Angles, Stainless Steel Pipes, Hollow Sections, Wire Mesh, Binding Wire","Extensive fleet of flatbed trailers, localized dispatch from state-level hubs, railway wagon transport for bulk orders, and nationwide dealer coverage.",
Radha Smelters Private Limited (Radha TMT),Sunil Saraf (Chairman & MD) / Lokesh Soni (Corporate Sales),sales@radhatmt.com,1800-3000-7500,https://www.radhatmt.com,66+ Years (Est. 1960 / Re-organized 2003),₹49,000 - ₹60,000 per Metric Tonne,"Radha Smelters Private Limited is a leading construction steel producer in South India operating a high-tech rolling mill in Shankarampet, Medak district, Telangana. The company manufactures premium Radha 550D Rhino TMT rebars using primary steel billets and German Thermax quenching technology. Radha TMT is widely recognized for superior ductility, uniform rib design, high thermal resistance, and exceptional earthquake safety.","Southern and Western India (Telangana, Andhra Pradesh, Karnataka, Tamil Nadu, Maharashtra, Goa)","Radha Rhino Fe 550D & Fe 500D TMT Rebars, Structural MS Squares, MS Rounds, MS Flats, Billets","Dedicated fleet of transport trucks providing direct 24-hour job-site delivery across Telangana/AP, regional stocking depots across South India, and dealer dispatch.",
Salasar Techno Engineering Limited (STEL),Alok Kumar (Chairman & MD) / Shashank Agarwal (Joint MD) / Marketing Team,marketing@salasartechno.com,+91-120-6488470,https://salasartechno.com,20+ Years (Est. 2006 / Incorporated 2001),"₹54,000 - ₹72,000 per Metric Tonne (Fabricated & Galvanized Structural Steel)","Salasar Techno Engineering Limited is an infrastructure engineering and heavy structural steel fabrication specialist operating three major manufacturing plants in Hapur, Uttar Pradesh. The company manufactures customized heavy structural steel fabrications, transmission towers, railway electrification (OHE) gantries, telecom monopoles, bridge girders, and pre-engineered steel buildings (PEB).",Pan-India across all infrastructure sectors and global exports to 25+ countries,"Fabricated Structural Heavy Beams, Heavy Columns, Galvanized Angles & Channels, Bridge Girders, Railway Electrification Gantries, Telecom Monopoles, PEB Structures","Specialized heavy-duty hydraulic trailers for oversize structural steel dispatches, multimodal road-rail logistics, direct site delivery for EPC projects, and port-side container shipping for global export.",,,
Prism RMC (A Division of Prism Johnson Limited),Commercial Sales & Dispatch Desk / Vijay Aggarwal (Managing Director),connect@rmcindia.com,+91-22-69547300,https://www.rmcindia.com,28+ Years (Est. 1996),"₹3,700 - ₹5,800 per Cubic Meter (m³)","Prism RMC is one of India's top three ready-mix concrete manufacturers, operating a vast network of automated batching plants across major industrial corridors and urban centers. It produces high-performance, self-compacting, temperature-controlled, and environmentally friendly concrete solutions under brands like MegaTech and OptiTech. The company serves mega infrastructure, commercial high-rises, and industrial projects with strict quality controls.","Mumbai, Navi Mumbai, Pune, Delhi NCR, Bengaluru, Chennai, Hyderabad, Ahmedabad, Kolkata, Kochi, Surat","M10 to M80 Grade RMC, Self-Compacting Concrete (SCC), Fiber Reinforced Concrete (FRC), High-Early-Strength Concrete, Pervious Concrete, Temperature-Controlled Concrete","Fleet of 500+ transit mixers, stationary and truck-mounted boom placers (24m to 42m), computerized mobile batching plants, on-site dedicated plant setup",,,
UltraTech Concrete (UltraTech Cement Ltd),Central Commercial Operations / Technical Services Desk,ultratech.concrete@adityabirla.com,1800 210 3311,https://www.ultratechcement.com,26+ Years (Est. 1998),"₹3,900 - ₹6,200 per Cubic Meter (m³)","UltraTech Concrete is the largest ready-mix concrete producer in India with over 200 state-of-the-art automated batching plants. The division specializes in value-added concrete products including UltraTech Plus, Freeflow, Hypercon, and DuraCon for high-performance applications. It caters to critical infrastructure including metro systems, airports, high-speed rail, and residential towers nationwide.","Pan-India (Mumbai, Delhi NCR, Bengaluru, Hyderabad, Chennai, Kolkata, Ahmedabad, Pune, Lucknow, Chandigarh, Kochi)","M10 to M100 High-Performance RMC, Self-Compacting Concrete, Waterproof Concrete, Fiber Reinforced Concrete, Thermal Insulated Concrete, Stamped & Decorative Concrete","GPS-enabled transit mixer fleet (1,000+ units), high-reach boom pumps (36m-52m), stationary concrete pumps, dedicated on-site captive batching plants",,,
ACC Concrete (ACC Limited - Adani Group),Customer Support & Institutional Sales Desk,acchelp@acclimited.com,1800 103 3444,https://www.acchelp.in,30+ Years (Est. 1994),"₹3,800 - ₹5,900 per Cubic Meter (m³)","ACC Concrete is a pioneering brand in India's ready-mix sector, running over 90 modern RMC plants equipped with fully automated computerized batching technology. It is recognized for innovative engineered concrete solutions such as ACC Flowcrete, ACC Speedcrete, and ACC Imprintcrete. The company supplies high-precision mixes to landmark national infrastructure, bridges, and commercial developments.","Mumbai, Pune, Delhi NCR, Bengaluru, Kolkata, Chennai, Hyderabad, Nagpur, Ahmedabad, Indore, Goa","M15 to M80 Concrete, High Early Strength Speedcrete, Self-Compacting Flowcrete, Colored Concrete, Pervious Concrete, Mass Pour Concrete","Extensive transit mixer fleet with automated telematics, mobile batching units (30-60 m³/hr), high-capacity line pumps, boom placers",,,
RDC Concrete (India) Pvt Ltd,Regional Dispatch Officer / Corporate Sales Desk,info@rdc.in,+91-22-67896789,https://www.rdc.in,33+ Years (Est. 1993),"₹3,600 - ₹5,600 per Cubic Meter (m³)","Established in 1993, RDC Concrete is India's largest non-cement manufacturer ready-mix concrete producer with a network exceeding 140 RMC plants nationwide. It specializes in tailored mix designs, high-durability infrastructure concrete, and special green concrete mixes. RDC operates both commercial and dedicated project plants across major metro regions and industrial corridors.","Pan-India (Delhi NCR, Mumbai, Thane, Pune, Bengaluru, Chennai, Hyderabad, Kolkata, Ahmedabad, Surat, Jaipur, Kochi, Bhopal, Bhubaneswar)","M10 to M75 Grade RMC, Low Carbon Concrete, Self-Consolidating Concrete, Steel & Synthetic Fiber Reinforced Concrete, Pavement Quality Concrete (PQC)","Over 600 GPS-tracked transit mixers, heavy-duty concrete boom pumps, trailer pumps, fast-deployable mobile batching plants (60 m³/hr)",,,
Godrej & Boyce Construction Division (Godrej TUFF),Commercial Sales & Technical Desk (Godrej TUFF),construction@godrej.com,1800 209 5511,https://www.godrejconstruction.in,28+ Years (Est. 1996),"₹4,000 - ₹6,500 per Cubic Meter (m³)","Godrej Construction, a division of Godrej & Boyce Mfg. Co. Ltd., produces advanced engineered ready-mix concrete and precast concrete elements under the Godrej TUFF brand. The company emphasizes sustainable construction through recycled aggregate concrete, pervious concrete, and high-performance precast products. Its plants are ISO-certified and supply prestigious commercial, residential, and infrastructure builders.","Mumbai Metropolitan Region (MMR), Pune, Navi Mumbai, Thane, Western Maharashtra industrial belt","Godrej Base TUFF (Dry Lean Concrete), Godrej Rheo TUFF (SCC), Godrej Poro TUFF (Pervious Concrete), Godrej Xtra TUFF (High Strength M60-M80), Precast Concrete Blocks, Pavers, Precast Wall Panels","Dedicated transit mixer fleet, mobile batching plants, trailer pumps, crane-assisted precast transport and placement logistics",,,
Aparna Enterprises Limited (Aparna RMC),Commercial Head / Sales Coordination Desk,info@aparnarmc.com,+91-40-23351871,https://www.aparnarmc.com,18+ Years (Est. 2006),"₹3,750 - ₹5,700 per Cubic Meter (m³)","Aparna RMC, a flagship vertical of Aparna Enterprises Limited, operates high-capacity automated batching plants across South and Western India. It is certified under RMCPCS (QCI) and produces standard, high-strength, and customized concrete for residential, commercial, and infra projects. The company incorporates automated weigh-batching and computerized testing for superior mix consistency.","Hyderabad, Bengaluru, Visakhapatnam, Vijayawada, Amaravati, Chennai, Guntur, Rajahmundry, Pune","M10 to M70 Grade RMC, Self-Compacting Concrete, High Early Strength Concrete, Shotcrete Mixes, Retarded Concrete, Dry Lean Concrete (DLC)","Fleet of 250+ transit mixers, stationary concrete pumps, 32m to 42m boom placers, on-site captive batching plant installations",,,
